"RT","SSD"
0.451,0.25
0.44239,-1
0.36025,-1
0.46504,-1
0.34413,-1
0.37923,-1
0.34068,-1
0.407,0.35
0.32,0.2
0.41431,-1
0.38134,-1
0.34728,-1
0.3622,-1
0.45,0.3
0.35643,-1
0.35764,-1
0.33536,-1
0.41917,-1
0.40203,-1
0.34,0.15
0.36297,-1
0.33844,-1
0.42818,-1
-1,0.25
0.44148,-1
0.36827,-1
0.45217,-1
0.40219,-1
0.34173,-1
0.41619,-1
-1,0.1
0.371,0.3
0.44723,-1
-1,0.15
0.54399,-1
0.341,0.25
0.52943,-1
0.41514,-1
0.34801,-1
0.37978,-1
0.36043,-1
0.338,0.2
0.421,0.2
0.56044,-1
0.46407,-1
0.45031,-1
0.43237,-1
0.39116,-1
0.37386,-1
-1,0.15
0.33977,-1
0.40942,-1
-1,0.15
0.43834,-1
0.35121,-1
0.3911,-1
0.42093,-1
0.3709,-1
0.39225,-1
0.46348,-1
-1,0.2
0.5098,-1
0.44071,-1
0.398,0.2
-1,0.15
0.43072,-1
0.45315,-1
0.41307,-1
0.61302,-1
0.32352,-1
-1,0.25
0.44413,-1
0.42227,-1
0.50032,-1
-1,0.3
-1,0.2
0.56427,-1
0.71464,-1
1.06727,-1
0.38337,-1
0.32997,-1
0.39204,-1
0.572,0.25
0.431,0.35
0.41416,-1
0.40572,-1
0.41853,-1
0.40096,-1
0.42589,-1
0.46387,-1
0.43858,-1
0.4211,-1
0.32859,-1
0.395,0.2
0.473,0.3
-1,0.15
-1,0.25
0.51951,-1
0.5046,-1
0.45745,-1
0.5027,-1
0.47203,-1
0.5458,-1
0.557,0.3
-1,0.2
0.61367,-1
0.40094,-1
0.44603,-1
0.6018,-1
0.42086,-1
0.44006,-1
0.51678,-1
0.43792,-1
0.478,0.25
-1,0.25
0.61804,-1
0.49864,-1
0.53513,-1
0.48566,-1
0.413,0.3
0.61391,-1
-1,0.2
0.45668,-1
0.42629,-1
0.54351,-1
0.51252,-1
0.3954,-1
