"RT","SSD"
0.66418,-1
0.407,0.45
0.403,0.45
0.45338,-1
0.45229,-1
0.64716,-1
0.46953,-1
0.42228,-1
0.39485,-1
0.39716,-1
0.40392,-1
0.46202,-1
-1,0.4
0.69133,-1
0.46,0.4
-1,0.35
-1,0.45
0.68074,-1
0.58677,-1
0.4677,-1
0.47014,-1
0.5185,-1
0.65169,-1
0.54838,-1
0.61105,-1
0.79306,-1
0.567,0.5
0.5548,-1
0.59095,-1
0.798,0.4
0.6495,-1
0.745,0.35
-1,0.45
0.60283,-1
0.68026,-1
0.67009,-1
0.63092,-1
0.70989,-1
0.86196,-1
0.60012,-1
0.7535,-1
0.57,0.5
0.79355,-1
-1,0.3
1.04235,-1
0.83975,-1
-1,0.35
0.44972,-1
-1,0.45
0.58349,-1
0.59155,-1
0.81123,-1
0.57765,-1
0.54384,-1
0.449,0.5
0.71214,-1
0.61292,-1
0.73362,-1
0.83328,-1
0.58875,-1
0.7,0.4
0.527,0.45
-1,0.35
0.61482,-1
0.56358,-1
0.78192,-1
0.74659,-1
0.58184,-1
0.66002,-1
-1,0.4
0.65212,-1
0.75817,-1
0.63999,-1
0.8019,-1
0.61076,-1
0.99743,-1
0.54,0.4
0.75122,-1
0.6652,-1
0.57727,-1
0.74122,-1
0.77174,-1
0.66,0.45
-1,0.35
-1,-1
0.61506,-1
0.54421,-1
0.61864,-1
0.64552,-1
0.474,0.4
0.608,0.4
0.74152,-1
0.73766,-1
0.77273,-1
-1,0.35
0.58519,-1
0.86834,-1
0.61625,-1
0.81839,-1
-1,0.35
-1,-1
0.49602,-1
0.781,0.4
0.69463,-1
0.59311,-1
0.65741,-1
0.55007,-1
0.8773,-1
0.591,0.4
-1,0.35
-1,-1
0.46653,-1
0.52762,-1
0.467,0.35
0.59042,-1
0.80745,-1
1.04294,-1
1.38536,-1
0.55207,-1
0.58983,-1
0.58064,-1
0.73757,-1
1.29364,-1
0.748,0.3
-1,0.4
