"RT","SSD"
0.43197,-1
0.472,0.25
0.361,0.25
0.39243,-1
0.31283,-1
0.34764,-1
0.32763,-1
-1,0.2
-1,0.2
0.35556,-1
0.38622,-1
0.40587,-1
0.40878,-1
0.35661,-1
0.34585,-1
0.32718,-1
0.45973,-1
0.29565,-1
0.24372,-1
0.29391,-1
-1,0.25
0.42308,-1
0.333,0.25
0.4208,-1
0.425,-1
0.327,0.3
0.43187,-1
0.33133,-1
0.40919,-1
-1,0.2
0.47414,-1
0.32939,-1
0.41512,-1
0.28126,-1
0.30999,-1
0.35223,-1
0.319,0.25
0.365,0.25
0.46532,-1
0.36376,-1
0.33237,-1
0.25947,-1
-1,0.2
0.41452,-1
0.3886,-1
-1,0.2
0.39824,-1
0.35963,-1
-1,0.25
-1,0.25
0.44129,-1
0.38177,-1
0.26813,-1
0.24877,-1
0.36588,-1
0.29342,-1
0.44975,-1
0.39938,-1
0.38706,-1
0.4479,-1
0.438,0.3
0.331,0.3
-1,0.25
0.46308,-1
0.37042,-1
-1,0.25
0.45188,-1
0.47443,-1
0.3363,-1
0.38498,-1
0.39837,-1
0.3355,-1
0.33344,-1
0.29193,-1
0.327,0.3
-1,0.3
0.3667,-1
0.4367,-1
0.35186,-1
0.33,0.35
0.3905,-1
0.38952,-1
0.31699,-1
-1,0.25
0.31378,-1
0.28304,-1
0.24719,-1
0.44686,-1
0.30659,-1
0.45104,-1
0.3067,-1
0.26759,-1
0.411,0.3
0.296,0.3
0.284,0.25
0.48859,-1
-1,0.25
0.50304,-1
0.47918,-1
0.28546,-1
0.32931,-1
0.4169,-1
0.37786,-1
0.25876,-1
0.40454,-1
0.39219,-1
0.38744,-1
0.317,0.2
0.45807,-1
0.359,0.3
0.39424,-1
-1,0.15
0.3,0.25
0.47081,-1
0.44533,-1
0.35808,-1
0.31736,-1
0.23599,-1
-1,0.2
-1,0.2
0.2823,-1
0.38591,-1
0.42236,-1
0.41149,-1
0.40661,-1
0.29424,-1
