"RT","SSD"
0.591,0.35
0.44303,-1
0.39293,-1
0.43303,-1
0.40592,-1
0.33886,-1
0.36756,-1
0.425,0.35
0.41811,-1
0.60234,-1
0.44128,-1
0.4173,-1
0.43804,-1
0.433,0.3
-1,0.3
0.6231,-1
-1,0.25
-1,0.35
0.42024,-1
0.47192,-1
0.4789,-1
0.55539,-1
0.38093,-1
0.40797,-1
0.45772,-1
0.39778,-1
0.45216,-1
-1,0.3
-1,0.4
0.63142,-1
0.53258,-1
0.3316,-1
0.38039,-1
0.31929,-1
0.45167,-1
0.43859,-1
0.407,0.35
0.495,0.45
0.60556,-1
0.62861,-1
0.4857,-1
0.49342,-1
0.44021,-1
0.44626,-1
0.47147,-1
0.454,0.4
0.53149,-1
-1,0.3
0.66689,-1
0.48467,-1
0.40483,-1
0.72178,-1
0.47853,-1
0.44946,-1
0.459,0.35
0.493,0.35
0.68344,-1
0.56186,-1
0.53203,-1
-1,0.3
0.68711,-1
0.54801,-1
0.59492,-1
-1,0.3
-1,0.35
0.45,0.35
1.08544,-1
0.69594,-1
0.8311,-1
0.66746,-1
0.63079,-1
0.3878,-1
0.491,0.3
0.49,0.4
0.60618,-1
0.48497,-1
0.5851,-1
0.65082,-1
0.54924,-1
0.47721,-1
0.57096,-1
0.51363,-1
0.503,0.35
-1,0.25
0.58867,-1
0.4692,-1
0.49759,-1
0.41801,-1
0.53099,-1
0.55656,-1
0.57576,-1
0.46975,-1
0.424,0.3
-1,0.3
0.60877,-1
0.46211,-1
0.44393,-1
0.48082,-1
0.47364,-1
0.466,0.35
0.547,0.25
0.8665,-1
0.46221,-1
0.41453,-1
0.66094,-1
0.56099,-1
0.53484,-1
0.32892,-1
-1,0.3
0.68931,-1
-1,0.2
0.68358,-1
0.85354,-1
0.47836,-1
0.37972,-1
0.50317,-1
0.50791,-1
-1,0.25
0.60049,-1
0.54,0.35
-1,0.3
0.396,0.3
0.531,-1
0.51733,-1
0.49431,-1
0.48388,-1
0.45865,-1
0.52409,-1
