"RT","SSD"
0.31829,-1
0.33334,-1
0.431,0.35
0.35843,-1
0.31149,-1
0.381,0.35
0.42268,-1
0.40409,-1
0.39167,-1
0.47433,-1
0.33867,-1
-1,0.3
0.343,0.3
0.69141,-1
0.34769,-1
0.27195,-1
0.45723,-1
0.27553,-1
-1,0.25
0.52674,-1
0.361,0.35
0.40752,-1
0.34771,-1
0.32198,-1
0.34644,-1
0.37486,-1
0.40909,-1
0.33251,-1
0.41461,-1
0.42749,-1
0.377,0.3
0.346,0.3
0.401,0.25
0.54587,-1
0.3978,-1
0.45004,-1
0.341,0.25
0.35249,-1
0.38285,-1
0.41271,-1
0.36628,-1
0.28534,-1
0.4293,-1
0.32625,-1
0.4353,-1
-1,0.2
-1,0.2
0.32996,-1
-1,0.25
0.345,0.25
0.46954,-1
0.4208,-1
0.28241,-1
0.33231,-1
0.31101,-1
0.39903,-1
0.38476,-1
0.50622,-1
0.30522,-1
0.41817,-1
0.266,0.3
0.341,0.2
0.53193,-1
0.46398,-1
0.33263,-1
0.38204,-1
0.42857,-1
-1,0.15
0.38398,-1
0.4182,-1
0.3717,-1
0.312,0.25
-1,0.2
0.35115,-1
0.37519,-1
0.40636,-1
0.38677,-1
0.41703,-1
0.36127,-1
0.339,0.2
-1,0.15
0.45207,-1
0.419,0.25
0.49095,-1
0.44226,-1
0.4072,-1
0.55568,-1
0.36908,-1
0.41762,-1
0.39629,-1
0.36875,-1
0.50794,-1
-1,0.2
0.55922,-1
0.43654,-1
-1,0.2
0.48721,-1
0.33557,-1
0.40173,-1
0.39177,-1
0.27355,-1
0.3615,-1
-1,0.25
-1,0.25
0.43,0.3
0.409,0.3
0.42087,-1
0.63531,-1
0.45227,-1
0.32371,-1
0.31674,-1
0.39818,-1
0.40044,-1
0.35849,-1
0.36776,-1
0.48319,-1
-1,0.25
0.68961,-1
-1,0.25
0.396,0.3
0.49996,-1
0.45463,-1
0.37607,-1
0.42703,-1
0.3553,-1
0.45626,-1
0.331,0.3
