"RT","SSD"
0.465,0.55
0.36866,-1
0.46984,-1
0.33993,-1
0.33025,-1
0.51799,-1
0.49972,-1
0.515,0.45
0.516,0.5
0.566,0.4
0.6968,-1
0.63047,-1
0.85704,-1
0.65118,-1
0.34373,-1
0.54735,-1
0.5414,-1
-1,0.35
0.6687,-1
0.582,-1
0.619,0.45
0.77799,-1
0.79894,-1
0.66318,-1
0.64392,-1
0.65392,-1
0.37947,-1
0.515,0.4
0.73579,-1
0.79252,-1
0.83789,-1
-1,0.4
-1,0.35
-1,0.45
0.86663,-1
0.61406,-1
0.61437,-1
0.63214,-1
0.57117,-1
0.73603,-1
0.57893,-1
0.62138,-1
-1,0.5
0.76059,-1
-1,0.4
0.69498,-1
0.72626,-1
0.70554,-1
0.64977,-1
0.65087,-1
0.6525,-1
0.61341,-1
0.64296,-1
-1,0.55
0.70522,-1
-1,0.45
0.661,0.6
-1,0.5
0.72018,-1
0.66773,-1
0.69222,-1
0.67677,-1
0.54739,-1
0.51911,-1
0.65252,-1
0.73919,-1
0.58804,-1
0.74799,-1
0.666,0.55
-1,0.55
0.75177,-1
0.73872,-1
0.725,0.6
0.84102,-1
-1,0.5
0.72416,-1
0.75963,-1
0.59931,-1
0.67262,-1
0.78261,-1
0.68491,-1
0.55433,-1
0.71272,-1
0.69465,-1
-1,0.55
0.72671,-1
-1,0.55
0.87309,-1
0.68121,-1
0.46158,-1
0.66837,-1
0.54939,-1
0.64322,-1
0.71806,-1
-1,0.6
-1,0.6
0.754,0.65
-1,0.65
0.85856,-1
0.69546,-1
0.75399,-1
0.79846,-1
0.46654,-1
0.65177,-1
0.69377,-1
0.652,0.7
0.94772,-1
0.63114,-1
0.69616,-1
0.72832,-1
0.431,-1
-1,0.6
0.75395,-1
0.81794,-1
0.67,0.65
0.70957,-1
0.787,0.65
0.90976,-1
0.76628,-1
0.87716,-1
0.716,0.6
0.74628,-1
0.59922,-1
-1,0.6
0.83121,-1
0.84218,-1
0.76617,-1
0.75788,-1
