"RT","SSD"
0.52695,-1
0.47041,-1
0.45476,-1
0.38414,-1
0.38093,-1
0.42322,-1
0.43,0.35
0.475,0.35
-1,0.3
0.55978,-1
0.57653,-1
0.50853,-1
0.53606,-1
0.71176,-1
0.68957,-1
-1,0.3
-1,0.35
0.57207,-1
0.48901,-1
0.37865,-1
0.51642,-1
0.50346,-1
0.53751,-1
0.509,0.3
0.524,0.4
0.6087,-1
0.5615,-1
0.46991,-1
0.5226,-1
0.51751,-1
0.73399,-1
0.50384,-1
-1,0.25
0.51671,-1
0.53317,-1
0.55674,-1
0.56642,-1
0.615,0.35
0.63416,-1
0.50708,-1
0.6014,-1
0.53604,-1
0.57936,-1
0.5715,-1
0.75075,-1
-1,0.3
-1,0.3
-1,0.35
0.63454,-1
0.64326,-1
0.53258,-1
0.59513,-1
0.404,0.35
0.60461,-1
0.53541,-1
0.46888,-1
-1,0.3
-1,0.4
0.60872,-1
0.60754,-1
0.48633,-1
0.49998,-1
0.5746,-1
0.55664,-1
0.58777,-1
0.50298,-1
0.824,0.45
-1,0.35
0.90481,-1
0.67005,-1
0.55509,-1
0.70536,-1
0.64307,-1
0.555,0.4
0.81521,-1
-1,0.4
-1,-1
0.523,0.45
0.82585,-1
-1,0.35
0.58853,-1
0.92146,-1
0.62852,-1
1.24725,-1
0.99517,-1
-1,0.4
0.79257,-1
-1,-1
0.71395,-1
0.55635,-1
-1,0.4
0.81596,-1
1.40229,-1
0.64646,-1
0.53127,-1
0.625,0.45
0.202,0.45
-1,-1
0.42663,-1
0.65781,-1
0.423,0.4
0.566,0.4
0.58779,-1
0.72033,-1
0.84573,-1
0.6504,-1
1.17633,-1
0.49065,-1
0.76455,-1
-1,0.35
0.65923,-1
0.409,0.35
0.52257,-1
0.59297,-1
0.54114,-1
0.51837,-1
0.56113,-1
0.55734,-1
0.57232,-1
0.71238,-1
0.52743,-1
0.539,0.4
-1,0.3
0.64054,-1
