"RT","SSD"
0.41923,-1
0.278,0.15
0.459,0.25
0.54246,-1
0.27605,-1
0.40285,-1
0.42134,-1
0.311,0.1
-1,0.2
0.36848,-1
0.2976,-1
0.36665,-1
0.41889,-1
0.4324,-1
0.26128,-1
0.25448,-1
0.33944,-1
0.45059,-1
0.32829,-1
0.382,0.25
-1,0.05
0.36513,-1
0.40925,-1
0.29855,-1
0.34811,-1
0.28996,-1
0.30395,-1
-1,0.1
0.297,0.2
0.41497,-1
0.36251,-1
0.42531,-1
0.37597,-1
0.317,0.15
-1,0.15
0.38315,-1
0.45442,-1
0.31572,-1
0.34,0.2
0.80994,-1
0.39229,-1
0.34099,-1
0.311,0.1
0.39772,-1
0.40475,-1
0.33131,-1
0.35358,-1
0.31599,-1
0.625,0.05
-1,0.15
0.48883,-1
0.2876,-1
0.51164,-1
0.35251,-1
-1,0
0.316,0.2
0.49966,-1
0.30671,-1
0.36051,-1
0.47257,-1
0.3157,-1
0.41298,-1
0.47201,-1
0.38919,-1
0.40065,-1
0.307,0.05
-1,0.15
0.2906,-1
0.35095,-1
0.40952,-1
0.40368,-1
0.36285,-1
0.276,0.2
-1,0
0.36064,-1
0.37936,-1
0.35194,-1
0.42781,-1
0.45862,-1
0.43608,-1
-1,0.05
0.293,0.15
0.41012,-1
0.43894,-1
0.37004,-1
-1,0.1
0.34539,-1
0.41711,-1
0.39634,-1
0.45892,-1
0.60779,-1
0.459,0.1
-1,0.05
-1,0.15
0.42938,-1
0.37214,-1
0.45151,-1
0.22876,-1
0.46773,-1
0.28465,-1
0.424,0.2
-1,0.1
0.48457,-1
0.28517,-1
0.37475,-1
0.35823,-1
0.48695,-1
0.32112,-1
0.332,0.15
-1,0.15
0.38876,-1
0.54885,-1
0.41313,-1
0.41909,-1
0.38989,-1
0.37,0.2
0.40002,-1
0.37648,-1
0.34067,-1
0.44405,-1
-1,0.1
0.43093,-1
