"RT","SSD"
0.53761,-1
0.42884,-1
0.36556,-1
0.32954,-1
0.28248,-1
0.38231,-1
-1,0.15
0.319,0.15
0.349,0.2
-1,0.1
0.39018,-1
0.30436,-1
0.37015,-1
0.40105,-1
0.34296,-1
0.37806,-1
0.41502,-1
0.307,0.15
-1,0.15
0.44736,-1
0.41737,-1
0.3232,-1
0.29049,-1
0.33263,-1
0.46098,-1
0.32676,-1
0.38633,-1
-1,0.2
0.32519,-1
0.42057,-1
-1,0.1
0.37035,-1
0.69109,-1
0.28774,-1
0.31322,-1
0.336,0.15
0.292,0.25
0.48986,-1
0.47643,-1
0.46074,-1
0.38092,-1
0.37291,-1
0.34288,-1
0.3487,-1
0.41373,-1
0.441,0.2
-1,0.1
-1,0.15
0.38647,-1
0.50943,-1
0.7611,-1
0.378,0.15
0.45264,-1
0.41671,-1
0.81068,-1
0.40144,-1
0.36285,-1
0.37494,-1
0.283,0.1
0.401,0.2
0.53946,-1
0.42888,-1
-1,-1
0.33373,-1
0.37659,-1
0.283,0.15
0.34326,-1
0.37513,-1
0.30635,-1
0.4313,-1
-1,0.05
0.31304,-1
0.36492,-1
-1,0.1
0.268,0.1
0.41456,-1
0.36393,-1
0.38009,-1
0.35509,-1
0.30303,-1
0.42263,-1
0.36019,-1
0.4273,-1
-1,0.05
0.39905,-1
0.35703,-1
0.367,0.1
0.493,0.1
0.63839,-1
0.53564,-1
0.44538,-1
-1,-1
0.34116,-1
0.32794,-1
0.32231,-1
0.3402,-1
0.35333,-1
0.3759,-1
-1,0.05
0.3765,-1
-1,0.05
0.32423,-1
0.30126,-1
0.3638,-1
0.48218,-1
0.51308,-1
-1,0.1
-1,0.1
0.3427,-1
0.37907,-1
0.37485,-1
0.3614,-1
0.38229,-1
0.31305,-1
-1,0.15
0.348,0.15
0.37403,-1
0.52306,-1
-1,-1
0.30474,-1
0.33459,-1
0.363,0.1
0.4844,-1
0.37736,-1
0.351,0.2
