"RT","SSD"
0.71038,-1
0.54809,-1
0.369,0.25
0.41,0.45
0.50539,-1
0.50413,-1
0.50753,-1
0.44679,-1
0.37558,-1
0.28867,-1
0.34994,-1
0.42742,-1
0.31749,-1
0.41285,-1
-1,0.4
0.441,0.2
-1,0.45
-1,0.15
0.857,-1
0.3343,-1
0.35892,-1
0.38662,-1
0.44565,-1
0.32542,-1
0.347,0.2
0.515,0.5
0.51106,-1
0.59267,-1
0.51147,-1
0.5948,-1
0.66379,-1
0.50931,-1
0.5897,-1
0.6714,-1
0.465,0.45
0.5037,-1
0.47547,-1
0.57389,-1
0.53446,-1
-1,0.15
-1,0.4
-1,0.2
0.57087,-1
0.34829,-1
0.54111,-1
0.35716,-1
0.99848,-1
0.54355,-1
0.33272,-1
0.48625,-1
0.64846,-1
0.47,0.45
0.38651,-1
0.33206,-1
0.48014,-1
-1,0.25
0.542,0.4
-1,0.3
0.57538,-1
0.57134,-1
0.47058,-1
0.60377,-1
1.21518,-1
0.49873,-1
0.38703,-1
0.48495,-1
0.48135,-1
-1,0.35
0.486,0.35
0.58077,-1
0.59063,-1
0.65706,-1
0.938,0.4
0.46622,-1
0.49473,-1
0.41061,-1
0.50067,-1
0.54285,-1
0.53417,-1
0.446,0.3
-1,0.25
0.65903,-1
0.61559,-1
-1,0.35
0.67026,-1
0.62535,-1
0.51765,-1
0.40879,-1
0.48176,-1
-1,0.3
0.49163,-1
0.469,0.4
0.71428,-1
0.4809,-1
0.53769,-1
0.5333,-1
0.50781,-1
0.49395,-1
0.459,0.35
0.61614,-1
0.64959,-1
0.48516,-1
-1,0.35
1.01179,-1
0.5776,-1
0.58637,-1
0.60527,-1
-1,0.3
-1,0.4
0.52441,-1
0.54384,-1
0.37503,-1
0.44415,-1
0.47843,-1
0.91497,-1
0.337,0.45
0.45257,-1
0.55841,-1
0.48149,-1
0.49,0.35
0.51787,-1
0.521,0.3
0.592,0.4
0.56672,-1
0.70553,-1
0.95851,-1
0.65048,-1
0.45443,-1
