"RT","SSD"
0.41395,-1
-1,0.25
-1,0.25
0.39513,-1
0.27361,-1
0.35793,-1
0.38821,-1
0.39286,-1
0.4223,-1
0.4488,-1
0.36067,-1
0.39991,-1
0.50193,-1
0.429,0.3
0.39261,-1
-1,0.3
0.391,0.35
0.367,0.25
0.48121,-1
0.77576,-1
0.3965,-1
0.49312,-1
0.49575,-1
0.38564,-1
0.57664,-1
0.54984,-1
0.46372,-1
0.43912,-1
-1,0.2
0.42744,-1
0.51388,-1
0.399,0.3
0.46582,-1
-1,0.25
0.314,0.25
0.46906,-1
0.48568,-1
0.37697,-1
0.30819,-1
0.23574,-1
0.27893,-1
0.29846,-1
0.33138,-1
-1,0.2
0.29486,-1
0.279,0.3
0.3928,-1
0.35138,-1
-1,0.25
0.23062,-1
-1,0.25
0.31893,-1
0.40202,-1
0.31231,-1
0.34134,-1
0.47656,-1
0.337,0.3
0.31134,-1
0.31552,-1
0.26324,-1
0.28907,-1
0.28465,-1
0.36037,-1
0.449,0.3
0.357,0.25
-1,0.25
0.34899,-1
0.34519,-1
0.58545,-1
0.2743,-1
0.45956,-1
0.37821,-1
-1,0.2
0.49018,-1
0.37716,-1
0.48765,-1
0.82098,-1
0.36669,-1
0.63608,-1
-1,0.3
0.33105,-1
0.31332,-1
0.39294,-1
0.28276,-1
0.40122,-1
-1,0.25
0.276,0.35
0.44421,-1
0.38012,-1
0.29655,-1
0.36662,-1
0.33232,-1
0.354,0.3
-1,0.3
0.55061,-1
0.41965,-1
0.377,-1
-1,0.35
0.43124,-1
0.5153,-1
0.88534,-1
0.36099,-1
-1,0.25
0.65211,-1
0.31985,-1
0.386,0.4
0.31897,-1
0.34908,-1
0.3622,-1
0.30256,-1
0.42375,-1
0.388,0.3
-1,0.25
0.47193,-1
0.33683,-1
0.57512,-1
0.413,0.35
0.49343,-1
0.4046,-1
0.51325,-1
0.53298,-1
0.45915,-1
0.58702,-1
0.41145,-1
0.36543,-1
0.46844,-1
-1,0.3
0.338,0.3
