"RT","SSD"
0.53,0.35
0.30071,-1
0.38945,-1
0.31573,-1
0.32467,-1
0.26559,-1
0.29769,-1
0.344,0.45
0.327,0.4
0.27321,-1
0.26744,-1
0.31264,-1
0.32378,-1
0.27259,-1
0.309,0.3
0.24303,-1
0.27507,-1
0.30627,-1
0.30347,-1
0.34084,-1
0.32686,-1
0.299,0.35
0.307,0.25
0.28405,-1
0.49504,-1
0.23299,-1
0.26408,-1
0.37984,-1
0.24194,-1
0.383,0.3
0.323,0.2
0.304,0.25
-1,0.15
0.30498,-1
0.44072,-1
0.32122,-1
0.29273,-1
0.4549,-1
0.2711,-1
0.25097,-1
0.27694,-1
0.2729,-1
0.33265,-1
0.303,0.2
0.31191,-1
-1,0.2
0.4244,-1
0.31679,-1
0.31776,-1
0.32097,-1
0.30649,-1
0.32,0.25
-1,0.15
0.32797,-1
0.36097,-1
0.36056,-1
0.44789,-1
0.30733,-1
0.30737,-1
0.296,0.2
0.4215,-1
0.28851,-1
-1,0.2
0.342,0.25
0.49763,-1
0.4457,-1
0.30614,-1
0.27529,-1
0.39355,-1
0.37123,-1
0.277,0.15
0.49613,-1
0.43687,-1
0.33871,-1
0.42445,-1
0.44615,-1
0.283,0.2
-1,0.1
0.30185,-1
0.38232,-1
0.34627,-1
0.37065,-1
0.32363,-1
0.38598,-1
-1,0.15
0.406,0.15
0.41666,-1
0.42186,-1
0.39135,-1
0.27869,-1
-1,0.1
-1,0.2
0.27378,-1
0.43189,-1
0.49016,-1
0.31664,-1
0.43079,-1
0.36643,-1
0.28912,-1
0.27146,-1
0.35061,-1
-1,0.15
-1,0.25
-1,0.2
0.34185,-1
0.40942,-1
0.328,0.3
0.38635,-1
0.44605,-1
0.35353,-1
0.33067,-1
0.38229,-1
-1,0.25
0.40597,-1
0.39061,-1
0.43456,-1
0.31898,-1
-1,0.25
0.37298,-1
0.45768,-1
0.41569,-1
0.35362,-1
0.29548,-1
0.264,0.3
0.28994,-1
-1,0.3
0.3471,-1
