"RT","SSD"
-1,0.35
0.34062,-1
0.32357,-1
0.27516,-1
0.29212,-1
0.46897,-1
-1,0.25
0.35661,-1
0.36213,-1
0.3364,-1
0.46561,-1
0.4856,-1
0.51465,-1
0.43836,-1
-1,0.4
0.266,0.3
0.236,0.25
0.30255,-1
0.30205,-1
0.31152,-1
0.51398,-1
0.479,0.45
0.54797,-1
0.27618,-1
0.29459,-1
0.301,0.2
0.61418,-1
0.267,0.4
0.31189,-1
0.29793,-1
0.52766,-1
0.47019,-1
0.44756,-1
0.50483,-1
-1,0.35
0.45311,-1
-1,0.15
0.363,-1
0.41642,-1
0.39518,-1
0.27372,-1
0.28044,-1
0.45979,-1
0.38572,-1
0.439,0.4
0.4646,-1
0.35483,-1
0.31788,-1
0.38722,-1
-1,0.15
0.62044,-1
0.39815,-1
0.29339,-1
0.323,0.35
0.34727,-1
-1,0.2
-1,0.3
0.39436,-1
0.35886,-1
0.36233,-1
0.33137,-1
0.30007,-1
0.389,-1
0.39277,-1
0.50726,-1
-1,0.25
0.31125,-1
0.3125,-1
0.30051,-1
0.28052,-1
-1,0.35
0.38,0.4
0.275,0.3
0.28374,-1
0.28212,-1
0.36237,-1
0.41761,-1
0.36948,-1
0.44751,-1
0.51015,-1
0.53346,-1
0.3612,-1
0.71189,-1
0.62058,-1
0.30113,-1
0.348,0.25
0.434,0.35
-1,0.3
0.40142,-1
0.282,0.2
0.32782,-1
0.38608,-1
0.44643,-1
0.33011,-1
0.37951,-1
0.33205,-1
0.31642,-1
0.68378,-1
0.4532,-1
0.409,0.35
0.66903,-1
-1,0.15
0.48804,-1
-1,0.2
0.43548,-1
0.442,-1
0.37567,-1
0.35143,-1
0.32594,-1
0.37218,-1
0.369,0.3
0.6506,-1
0.31079,-1
0.35513,-1
0.42836,-1
0.43133,-1
0.52422,-1
-1,0.25
-1,0.25
0.391,0.3
0.393,0.3
0.60752,-1
0.31956,-1
0.33736,-1
0.42214,-1
0.31422,-1
0.47725,-1
