"RT","SSD"
0.44204,-1
0.42057,-1
0.36862,-1
0.42628,-1
0.443,0.35
-1,0.25
0.54568,-1
0.49526,-1
0.5849,-1
0.43487,-1
0.355,0.3
0.50031,-1
-1,0.3
0.4936,-1
0.57263,-1
0.53549,-1
-1,0.25
0.50897,-1
-1,0.35
0.40865,-1
0.44552,-1
0.42534,-1
0.42685,-1
0.47749,-1
0.42293,-1
0.361,0.4
-1,0.3
0.48167,-1
0.45956,-1
0.50082,-1
0.27385,-1
0.33449,-1
0.34819,-1
0.54394,-1
0.40536,-1
0.4147,-1
0.36033,-1
0.473,0.35
-1,0.35
0.4702,-1
0.47605,-1
0.44718,-1
0.33036,-1
0.53183,-1
0.387,0.4
0.371,0.3
0.49414,-1
0.34262,-1
0.32789,-1
0.43894,-1
0.38684,-1
0.35961,-1
0.38467,-1
0.473,0.35
0.5803,-1
-1,0.25
0.72444,-1
0.48349,-1
0.49847,-1
0.31476,-1
0.37697,-1
0.48762,-1
-1,0.3
0.411,0.3
0.50297,-1
0.392,0.35
-1,0.25
0.52949,-1
0.3971,-1
0.36633,-1
0.52339,-1
0.36107,-1
0.39551,-1
0.35659,-1
0.38131,-1
0.46315,-1
-1,0.3
0.48,0.3
0.52528,-1
0.4974,-1
0.54238,-1
0.3324,-1
0.26124,-1
0.37236,-1
0.52368,-1
0.345,0.25
0.473,0.35
0.556,-1
-1,0.3
-1,0.2
0.51723,-1
0.37761,-1
0.33572,-1
0.35771,-1
0.44877,-1
0.3959,-1
0.399,0.25
0.40337,-1
0.42149,-1
0.368,0.35
0.47811,-1
0.42169,-1
0.40215,-1
0.46101,-1
0.39041,-1
0.335,0.3
-1,0.2
0.45093,-1
0.45876,-1
0.56537,-1
0.53503,-1
0.32837,-1
0.455,0.25
0.409,0.25
0.47077,-1
0.44856,-1
0.35774,-1
0.55838,-1
0.30732,-1
0.40064,-1
0.41719,-1
-1,0.2
0.55042,-1
0.51454,-1
0.32141,-1
0.249,0.2
0.47925,-1
0.29045,-1
