"RT","SSD"
0.6163,-1
-1,0.35
0.71406,-1
0.56972,-1
0.60604,-1
0.49454,-1
0.48979,-1
-1,0.35
0.71496,-1
0.60247,-1
0.63937,-1
0.59,0.4
0.84537,-1
0.67651,-1
-1,0.4
0.78718,-1
-1,0.35
0.82668,-1
0.69648,-1
0.81368,-1
0.62904,-1
0.69645,-1
0.75273,-1
-1,0.45
0.73678,-1
0.48683,-1
0.61808,-1
-1,0.4
0.39531,-1
0.496,0.5
0.40357,-1
0.42052,-1
0.54624,-1
0.4873,-1
0.45753,-1
-1,0.45
-1,0.45
0.49119,-1
0.52592,-1
0.63099,-1
0.50346,-1
0.44978,-1
0.57896,-1
0.64482,-1
-1,0.5
0.56318,-1
0.5092,-1
-1,0.5
-1,0.55
-1,0.55
0.50693,-1
0.3598,-1
0.30889,-1
0.37809,-1
0.3198,-1
0.34022,-1
0.30254,-1
0.44375,-1
0.55426,-1
0.4455,-1
0.54406,-1
0.35,0.6
0.455,0.6
0.43036,-1
0.53235,-1
0.63134,-1
0.43621,-1
0.6241,-1
0.58231,-1
0.37549,-1
0.43,0.55
0.483,0.55
0.346,0.5
0.355,0.5
0.43466,-1
0.3727,-1
0.48281,-1
0.34362,-1
0.42852,-1
0.41438,-1
0.44659,-1
0.61506,-1
0.46202,-1
0.44731,-1
0.40529,-1
0.42679,-1
-1,0.45
0.429,0.45
0.314,0.4
0.37785,-1
0.561,0.5
0.60722,-1
0.41054,-1
0.31439,-1
0.38525,-1
0.41181,-1
0.36301,-1
0.47285,-1
0.431,0.45
0.35029,-1
0.42801,-1
0.351,0.35
0.36456,-1
0.74731,-1
0.52971,-1
0.45889,-1
0.583,0.4
0.38928,-1
0.50768,-1
-1,0.3
0.66649,-1
0.50883,-1
0.59968,-1
0.47218,-1
-1,0.35
-1,0.35
0.7397,-1
0.46459,-1
0.44997,-1
0.52413,-1
0.39234,-1
0.462,0.4
0.37504,-1
0.48018,-1
0.39087,-1
0.55382,-1
0.372,0.4
0.37693,-1
