"RT","SSD"
0.37656,-1
0.38967,-1
0.41311,-1
0.36804,-1
0.32273,-1
0.278,0.25
0.323,0.15
-1,0.2
0.422,0.1
0.41618,-1
0.32464,-1
0.39754,-1
0.28946,-1
0.37717,-1
0.33095,-1
0.34918,-1
0.28188,-1
-1,0.05
0.40921,-1
0.28395,-1
0.33574,-1
0.332,0.25
0.38347,-1
0.38381,-1
0.30214,-1
0.27655,-1
0.283,0.1
-1,0.2
0.31569,-1
0.29616,-1
0.26815,-1
0.49462,-1
0.35811,-1
0.38194,-1
0.41392,-1
0.329,0.25
0.43046,-1
-1,0.05
0.308,0.1
0.42034,-1
0.39584,-1
0.36,-1
0.367,0.2
0.37283,-1
0.41538,-1
0.5606,-1
0.39503,-1
0.40406,-1
0.367,0.15
-1,0.05
0.46754,-1
0.31895,-1
0.44201,-1
0.41562,-1
0.37249,-1
0.36912,-1
0.279,0.1
-1,0.1
0.36725,-1
0.34491,-1
0.354,-1
0.26092,-1
0.4504,-1
0.28404,-1
-1,0.05
0.3615,-1
0.34018,-1
0.37885,-1
0.291,0.15
0.39855,-1
0.36099,-1
0.38005,-1
0.30329,-1
-1,0.1
0.3852,-1
0.35367,-1
-1,0.1
0.376,0.15
0.33259,-1
0.33363,-1
0.42418,-1
0.40194,-1
0.48412,-1
-1,0.15
0.64905,-1
0.31141,-1
0.38045,-1
0.45363,-1
0.40621,-1
0.45591,-1
-1,0.2
-1,0.1
0.5153,-1
-1,0.15
0.59207,-1
-1,0.25
0.34818,-1
0.39017,-1
0.41566,-1
0.40425,-1
0.29468,-1
0.35,0.3
0.51114,-1
0.34683,-1
0.3475,-1
0.43504,-1
0.42664,-1
0.47616,-1
0.342,0.2
0.65016,-1
0.43423,-1
0.44696,-1
0.36334,-1
0.45873,-1
0.40094,-1
-1,0.15
0.301,0.25
-1,0.2
0.37626,-1
0.49216,-1
0.65804,-1
0.29303,-1
0.42212,-1
0.47786,-1
-1,0.2
