"RT","SSD"
0.7021,-1
0.56169,-1
0.52769,-1
0.33155,-1
0.346,0.45
0.379,0.55
0.409,-1
0.42884,-1
0.30752,-1
0.44612,-1
0.374,0.4
0.246,0.5
0.6006,-1
0.27111,-1
0.31118,-1
0.35216,-1
0.48581,-1
0.424,0.45
0.463,0.35
0.35416,-1
0.33141,-1
0.48787,-1
0.44318,-1
0.39766,-1
0.43817,-1
0.46789,-1
0.3535,-1
0.426,0.3
0.52606,-1
0.474,0.4
0.5928,-1
-1,0.25
0.61607,-1
-1,0.35
0.63232,-1
0.6259,-1
0.64201,-1
0.68362,-1
0.71226,-1
0.45427,-1
0.60255,-1
0.54915,-1
0.60186,-1
-1,0.4
-1,0.3
0.6849,-1
0.70816,-1
0.489,0.35
0.753,-1
0.67479,-1
0.64015,-1
0.73896,-1
0.64181,-1
0.62345,-1
0.548,0.45
-1,0.4
-1,0.3
0.71386,-1
0.81454,-1
0.74481,-1
0.83469,-1
0.7455,-1
0.68628,-1
0.80232,-1
0.72992,-1
0.73388,-1
0.68853,-1
0.55262,-1
-1,0.45
-1,0.35
0.83929,-1
0.88054,-1
-1,0.4
0.86274,-1
-1,0.5
0.6959,-1
0.91617,-1
0.88376,-1
0.88013,-1
0.77105,-1
0.79067,-1
0.57158,-1
0.67182,-1
0.75896,-1
0.658,0.55
0.73013,-1
-1,0.45
-1,0.5
0.8211,-1
0.87333,-1
0.81266,-1
0.70246,-1
0.75278,-1
0.71947,-1
-1,0.5
0.78973,-1
0.601,0.55
0.69165,-1
0.68483,-1
0.71707,-1
0.86338,-1
0.7145,-1
-1,0.55
-1,0.5
-1,0.6
0.69108,-1
0.65768,-1
0.74831,-1
0.79108,-1
0.80508,-1
0.67045,-1
0.75086,-1
0.77008,-1
0.7272,-1
0.57408,-1
0.42,0.55
0.542,0.65
0.47887,-1
0.53489,-1
0.536,0.5
0.62098,-1
0.58146,-1
0.66133,-1
0.43413,-1
0.556,0.6
0.51404,-1
0.42934,-1
