"RT","SSD"
1.17213,-1
0.44717,-1
0.37569,-1
0.35915,-1
0.58275,-1
0.35994,-1
0.277,0.25
0.37,0.2
0.394,0.2
0.42005,-1
0.32474,-1
0.53592,-1
0.53798,-1
0.37305,-1
0.337,0.15
1.11464,-1
0.34334,-1
0.47124,-1
0.39229,-1
0.512,0.15
0.337,0.1
-1,0.05
0.47274,-1
0.51081,-1
0.35793,-1
0.40781,-1
0.43255,-1
0.48899,-1
0.481,0.05
0.41741,-1
0.87669,-1
0.58134,-1
0.4138,-1
0.463,0.1
0.53408,-1
0.62188,-1
0.65198,-1
0.44088,-1
0.50053,-1
0.43815,-1
0.38841,-1
-1,0.05
0.593,0
-1,0.1
0.55586,-1
0.52755,-1
0.47377,-1
0.352,0
0.68896,-1
0.51473,-1
0.53259,-1
-1,0
0.404,0.15
0.77718,-1
0.51746,-1
0.40556,-1
0.58434,-1
0.52629,-1
0.50482,-1
0.45597,-1
0.42545,-1
0.37976,-1
0.395,0.1
0.459,0.05
0.5321,-1
0.56452,-1
0.46102,-1
0.46507,-1
0.49125,-1
0.4469,-1
0.464,0
0.57294,-1
-1,0.05
0.50525,-1
-1,0.1
0.49468,-1
-1,0
-1,-1
0.56133,-1
0.39855,-1
0.49381,-1
0.49651,-1
-1,0.05
0.58009,-1
0.57344,-1
0.5419,-1
0.46289,-1
-1,0.15
0.61217,-1
0.55343,-1
0.60351,-1
0.51818,-1
-1,0.2
0.573,0.1
0.43493,-1
0.49686,-1
0.36918,-1
0.683,0.05
-1,0.25
0.42901,-1
0.55787,-1
0.8415,-1
0.61288,-1
0.74865,-1
0.47391,-1
0.47374,-1
-1,0
0.56851,-1
0.547,0.3
0.69763,-1
0.45171,-1
0.61762,-1
0.45206,-1
0.62061,-1
0.54555,-1
0.58757,-1
0.58409,-1
-1,0.05
0.428,0.25
0.66438,-1
