"RT","SSD"
0.44886,-1
0.394,0.35
0.368,0.35
0.60223,-1
0.44654,-1
0.41935,-1
0.39627,-1
0.4167,-1
-1,0.3
-1,0.3
0.41723,-1
0.29265,-1
0.45476,-1
0.36066,-1
0.37196,-1
0.44822,-1
0.43016,-1
0.45949,-1
0.49291,-1
0.31592,-1
0.44,0.35
0.358,0.35
0.39427,-1
0.44399,-1
0.46015,-1
0.37361,-1
0.43469,-1
0.39403,-1
0.46,0.3
-1,0.3
0.46835,-1
0.48059,-1
0.51477,-1
0.43141,-1
0.474,0.35
-1,0.25
0.52519,-1
0.51985,-1
0.33527,-1
-1,0.3
0.75394,-1
0.44635,-1
0.41273,-1
-1,0.3
0.52968,-1
0.48675,-1
0.47758,-1
0.43031,-1
0.48614,-1
0.41,0.35
0.457,0.35
0.5398,-1
0.4267,-1
0.51155,-1
0.54318,-1
-1,0.3
-1,0.3
0.57155,-1
0.63763,-1
0.37057,-1
0.53892,-1
0.50096,-1
0.42427,-1
0.54497,-1
0.50158,-1
0.44716,-1
0.47012,-1
0.44,0.35
0.552,0.35
0.39514,-1
0.49813,-1
0.43883,-1
0.4205,-1
0.37227,-1
-1,0.3
-1,0.3
0.6668,-1
0.487,-1
0.51668,-1
0.51928,-1
0.39868,-1
0.48424,-1
-1,0.35
-1,0.35
0.45156,-1
0.71779,-1
0.49728,-1
-1,0.4
0.90606,-1
0.55559,-1
0.55605,-1
0.63655,-1
0.56033,-1
0.389,0.4
0.381,0.35
0.526,0.45
0.4821,-1
0.48525,-1
0.34116,-1
0.45767,-1
0.3665,-1
0.54459,-1
0.40895,-1
0.38,0.4
0.392,0.3
0.49832,-1
0.50414,-1
0.46424,-1
0.41318,-1
0.38527,-1
0.26915,-1
0.43409,-1
0.455,0.35
-1,0.25
0.52476,-1
0.47765,-1
0.67232,-1
0.41479,-1
0.48714,-1
-1,0.3
0.61039,-1
0.42539,-1
0.44535,-1
0.67071,-1
-1,0.3
0.48928,-1
