"RT","SSD"
0.52119,-1
0.38331,-1
0.27728,-1
0.28371,-1
0.31445,-1
0.3046,-1
0.341,0.35
0.242,0.35
0.293,0.3
0.291,0.3
0.40881,-1
0.44303,-1
0.36291,-1
0.32624,-1
0.36465,-1
0.314,0.25
0.4148,-1
0.38304,-1
0.43118,-1
0.378,0.25
0.40288,-1
0.41153,-1
-1,0.2
0.4216,-1
-1,0.2
0.44858,-1
0.40558,-1
0.57482,-1
0.41636,-1
0.44834,-1
0.52204,-1
0.418,0.25
0.51243,-1
0.33582,-1
0.32608,-1
0.31827,-1
0.51718,-1
-1,0.25
0.57457,-1
0.36431,-1
0.36263,-1
-1,0.2
0.45205,-1
0.37914,-1
0.45337,-1
-1,0.3
0.53444,-1
0.30773,-1
0.37777,-1
0.56765,-1
0.32468,-1
0.34154,-1
0.413,0.35
0.34,0.25
0.57174,-1
-1,0.2
0.39851,-1
0.33648,-1
0.4697,-1
-1,0.3
0.40286,-1
0.33047,-1
0.28,0.25
0.39503,-1
0.42092,-1
0.50189,-1
0.40544,-1
0.41352,-1
0.48499,-1
0.474,0.35
-1,0.2
0.435,0.3
0.43948,-1
0.35817,-1
0.68047,-1
0.49691,-1
0.46497,-1
0.4764,-1
0.45862,-1
-1,0.25
0.53682,-1
-1,0.25
0.5473,-1
0.39937,-1
0.49016,-1
0.42413,-1
0.43437,-1
0.45198,-1
0.36632,-1
0.46583,-1
0.397,0.3
-1,0.3
0.71787,-1
0.48664,-1
0.39025,-1
0.47161,-1
0.45756,-1
0.47095,-1
0.38953,-1
-1,0.25
-1,0.35
0.49524,-1
0.39084,-1
0.49655,-1
0.47606,-1
0.50266,-1
0.454,0.4
0.50471,-1
0.44807,-1
-1,0.3
-1,0.35
0.52358,-1
-1,0.35
0.53406,-1
0.36512,-1
0.39826,-1
0.46017,-1
0.48191,-1
0.51067,-1
0.48317,-1
0.49901,-1
0.79918,-1
0.48314,-1
0.53943,-1
-1,0.4
-1,0.4
