"RT","SSD"
1.01634,-1
0.39661,-1
0.45398,-1
0.43636,-1
0.36258,-1
0.42473,-1
0.236,0.35
0.284,0.35
0.386,0.3
0.293,0.3
0.32073,-1
0.38717,-1
0.48318,-1
0.41713,-1
0.37164,-1
0.30808,-1
0.35426,-1
0.29767,-1
0.315,0.25
0.40407,-1
0.31257,-1
0.43469,-1
0.34,0.25
0.41958,-1
0.42061,-1
0.39483,-1
0.37728,-1
-1,0.2
-1,0.2
0.41639,-1
0.42028,-1
0.32284,-1
0.50544,-1
0.48072,-1
0.53011,-1
0.44299,-1
-1,0.25
0.59912,-1
-1,0.25
0.44,0.3
0.51827,-1
0.58761,-1
0.32426,-1
-1,0.3
0.55587,-1
0.57285,-1
0.43215,-1
0.50027,-1
0.39989,-1
0.38,0.35
-1,0.25
0.5304,-1
0.46457,-1
0.58413,-1
0.45123,-1
0.48839,-1
0.47353,-1
-1,0.3
-1,0.3
0.53337,-1
0.48306,-1
0.42946,-1
0.35463,-1
0.41986,-1
0.39872,-1
0.376,0.35
0.48697,-1
0.48916,-1
0.51546,-1
0.51655,-1
0.464,0.35
0.45859,-1
0.45258,-1
0.34728,-1
0.39933,-1
-1,0.3
0.50234,-1
0.39377,-1
-1,0.3
0.451,0.35
0.45458,-1
0.52305,-1
0.4293,-1
0.49234,-1
0.38644,-1
0.42,0.35
0.579,-1
0.41949,-1
0.48898,-1
0.56359,-1
0.41365,-1
0.37891,-1
0.512,0.3
-1,0.3
0.48171,-1
-1,0.35
0.53069,-1
-1,0.25
0.49384,-1
0.5629,-1
0.59357,-1
0.444,-1
0.54922,-1
0.418,0.3
0.66495,-1
0.51367,-1
0.3942,-1
0.46735,-1
0.58104,-1
0.56702,-1
0.324,0.4
0.45039,-1
0.33998,-1
0.38443,-1
0.32175,-1
0.43713,-1
0.27526,-1
0.452,0.35
0.417,0.25
-1,0.3
0.52036,-1
0.51561,-1
0.45026,-1
0.45826,-1
0.46764,-1
0.45186,-1
-1,0.2
