"RT","SSD"
0.46962,-1
0.342,0.45
0.32239,-1
0.37029,-1
0.33711,-1
0.35617,-1
0.3348,-1
0.347,0.45
0.32299,-1
0.33998,-1
0.34496,-1
0.3368,-1
0.3666,-1
0.386,0.4
0.327,0.4
0.3962,-1
0.37472,-1
0.43631,-1
0.38111,-1
0.31403,-1
0.36309,-1
0.31451,-1
0.268,0.35
0.316,0.35
0.276,0.3
0.32338,-1
0.364,0.3
0.30665,-1
0.37136,-1
0.44356,-1
0.45002,-1
0.39407,-1
0.33505,-1
0.42678,-1
0.41522,-1
0.35247,-1
0.37397,-1
-1,0.25
0.41594,-1
0.394,0.25
0.39409,-1
0.41049,-1
0.33188,-1
0.37914,-1
0.396,0.3
-1,0.2
0.45985,-1
0.35259,-1
0.42758,-1
0.44214,-1
0.3652,-1
0.47428,-1
0.3629,-1
0.2734,-1
0.323,0.25
-1,0.25
-1,0.3
0.317,0.2
0.53625,-1
0.39677,-1
0.43653,-1
0.47005,-1
0.50895,-1
0.40993,-1
0.42177,-1
0.42195,-1
0.31869,-1
0.37851,-1
0.34514,-1
0.329,0.35
-1,0.15
0.41403,-1
0.34861,-1
0.4062,-1
0.393,0.3
0.43262,-1
-1,0.2
0.36417,-1
0.41027,-1
0.39708,-1
0.359,0.25
0.40912,-1
-1,0.25
0.38495,-1
0.34712,-1
0.48101,-1
0.32209,-1
0.28787,-1
0.33918,-1
0.36653,-1
0.40064,-1
0.40509,-1
0.32473,-1
-1,0.3
-1,0.2
0.45826,-1
0.47547,-1
0.29899,-1
0.37946,-1
0.35728,-1
0.33656,-1
0.471,0.35
0.43453,-1
0.41905,-1
0.4552,-1
0.39159,-1
0.32832,-1
0.37006,-1
0.368,0.3
-1,0.2
0.51303,-1
-1,0.25
0.31355,-1
0.325,0.25
0.4432,-1
0.35379,-1
0.45243,-1
0.40701,-1
0.35076,-1
0.33502,-1
0.33433,-1
0.32909,-1
0.31023,-1
0.3303,-1
0.33591,-1
0.333,0.3
-1,0.2
