"RT","SSD"
0.74476,-1
0.436,0.45
0.562,0.35
0.65963,-1
0.28796,-1
0.44091,-1
0.3982,-1
0.44506,-1
0.429,0.4
0.259,0.3
0.36662,-1
0.7245,-1
0.4132,-1
0.51881,-1
0.59905,-1
-1,-1
0.33718,-1
0.72359,-1
0.57318,-1
0.32384,-1
0.44852,-1
0.49,0.35
0.56787,-1
-1,0.25
0.55127,-1
0.69687,-1
-1,0.3
0.23502,-1
0.30805,-1
0.25677,-1
0.512,0.3
0.55963,-1
-1,-1
1.1155,-1
0.33394,-1
0.48207,-1
0.47814,-1
-1,0.25
0.345,0.35
0.57843,-1
0.86392,-1
0.77293,-1
0.59279,-1
0.492,0.3
0.64696,-1
0.37562,-1
-1,0.3
0.40716,-1
1.05953,-1
0.392,0.35
0.335,0.25
0.60657,-1
1.14471,-1
0.37345,-1
0.45339,-1
0.43154,-1
0.61231,-1
0.37295,-1
-1,-1
0.64206,-1
0.36694,-1
0.4834,-1
-1,0.3
0.364,0.2
-1,0.15
0.5425,-1
0.82361,-1
-1,0.35
-1,-1
-1,-1
0.37865,-1
0.62713,-1
0.44142,-1
0.40652,-1
0.63252,-1
0.65343,-1
0.484,0.2
0.419,0.4
0.72224,-1
0.41556,-1
0.65735,-1
0.366,0.35
0.54551,-1
0.64227,-1
0.37113,-1
-1,0.15
0.44917,-1
0.35548,-1
0.52328,-1
0.59519,-1
0.55177,-1
0.58333,-1
0.30551,-1
0.405,0.3
0.315,0.2
0.712,0.25
1.01216,-1
-1,0.15
-1,-1
0.6403,-1
0.41818,-1
0.36413,-1
0.55642,-1
-1,-1
0.3287,-1
-1,-1
0.43489,-1
0.51948,-1
0.477,0.2
0.37188,-1
0.571,0.2
0.81324,-1
-1,0.15
-1,0.15
1.03739,-1
0.41994,-1
0.73002,-1
0.69948,-1
0.73951,-1
0.331,0.2
-1,0.2
0.51535,-1
-1,-1
-1,-1
0.47607,-1
0.40247,-1
0.40325,-1
