"RT","SSD"
0.40957,-1
0.352,0.55
0.43,0.55
0.48957,-1
0.41408,-1
0.45169,-1
0.56777,-1
0.37899,-1
0.34828,-1
0.34731,-1
0.27672,-1
0.32351,-1
0.47602,-1
0.44,0.5
0.38786,-1
0.333,0.5
0.378,0.45
0.325,0.45
0.37742,-1
0.44797,-1
0.3749,-1
0.30494,-1
0.39186,-1
0.3683,-1
0.41297,-1
0.45812,-1
0.41234,-1
0.63173,-1
-1,0.4
0.37169,-1
0.36257,-1
0.395,0.4
0.40798,-1
0.387,0.35
0.301,0.45
0.46438,-1
0.4545,-1
0.54937,-1
0.37762,-1
0.33113,-1
0.42304,-1
0.48194,-1
0.53941,-1
0.328,0.4
0.4114,-1
-1,0.3
0.42456,-1
0.52254,-1
-1,0.35
0.3113,-1
-1,0.35
0.43879,-1
0.5506,-1
0.49098,-1
0.57352,-1
0.50841,-1
0.438,0.4
0.51139,-1
0.41872,-1
0.53826,-1
0.41954,-1
0.44099,-1
0.49046,-1
-1,0.4
0.408,0.35
0.507,0.45
0.65513,-1
0.60235,-1
0.50523,-1
0.4735,-1
0.49999,-1
0.60476,-1
-1,0.3
0.51342,-1
0.56736,-1
0.51303,-1
0.53044,-1
0.5592,-1
0.69924,-1
-1,0.4
0.48382,-1
0.67269,-1
0.79916,-1
0.76745,-1
0.57065,-1
-1,0.35
-1,0.45
0.34302,-1
0.60998,-1
0.62369,-1
0.48269,-1
0.58307,-1
-1,0.4
0.551,0.5
0.62359,-1
0.37626,-1
0.47639,-1
0.384,0.45
0.50709,-1
0.54248,-1
0.57555,-1
0.63766,-1
0.541,0.45
0.80189,-1
0.79114,-1
-1,0.4
0.5753,-1
0.90623,-1
0.58131,-1
0.54003,-1
0.43039,-1
0.459,0.4
-1,0.35
0.5797,-1
0.62261,-1
0.54277,-1
0.463,0.45
0.53611,-1
0.531,-1
0.49907,-1
0.56504,-1
0.35469,-1
0.49795,-1
0.44242,-1
0.35473,-1
0.51871,-1
0.522,0.4
-1,0.4
