"RT","SSD"
0.448,0.35
0.366,0.45
0.33359,-1
0.29327,-1
0.27751,-1
0.4412,-1
0.2516,-1
0.25514,-1
0.26491,-1
0.4229,-1
0.351,0.3
0.55751,-1
0.36412,-1
0.39117,-1
0.31658,-1
0.45723,-1
0.35781,-1
0.29523,-1
0.263,0.35
0.2866,-1
0.52737,-1
0.43741,-1
0.35259,-1
0.4709,-1
0.291,0.3
0.27539,-1
0.43856,-1
0.47961,-1
0.51643,-1
0.384,0.2
0.4834,-1
0.44489,-1
0.3025,-1
0.26387,-1
0.29136,-1
0.33399,-1
0.29,0.25
0.309,0.15
-1,0.1
-1,0.2
0.39239,-1
0.34784,-1
0.38182,-1
0.35065,-1
0.49231,-1
0.32985,-1
0.38319,-1
0.29858,-1
0.39318,-1
0.35885,-1
0.34953,-1
-1,0.15
-1,0.25
0.52045,-1
0.303,0.2
0.40376,-1
0.35578,-1
0.303,-1
0.58728,-1
0.32317,-1
0.266,0.3
0.33587,-1
0.294,0.25
0.49501,-1
0.38919,-1
-1,0.15
0.38226,-1
0.36838,-1
0.36451,-1
0.43659,-1
0.35652,-1
0.4202,-1
0.30707,-1
0.36787,-1
0.49529,-1
0.637,0.2
-1,0.2
0.504,0.15
-1,-1
0.47632,-1
0.46002,-1
0.42612,-1
0.47387,-1
0.4572,-1
0.311,0.25
0.42368,-1
0.52439,-1
-1,0.1
0.345,0.2
0.61166,-1
0.39428,-1
0.46426,-1
0.48059,-1
0.43328,-1
0.53365,-1
-1,0.15
0.43575,-1
0.36546,-1
0.49508,-1
0.28301,-1
-1,0.15
0.336,0.2
0.48469,-1
0.37205,-1
0.43149,-1
0.31395,-1
0.27663,-1
0.46847,-1
0.358,0.2
-1,0.15
0.60223,-1
-1,0.15
0.63174,-1
0.39675,-1
0.40434,-1
0.37846,-1
0.45847,-1
0.35998,-1
0.42027,-1
0.32307,-1
0.32318,-1
0.29602,-1
-1,0.2
-1,0.2
0.57188,-1
