"RT","SSD"
0.64229,-1
-1,0.15
-1,0.15
0.32643,-1
0.35272,-1
0.30949,-1
0.31077,-1
0.37598,-1
0.38465,-1
0.48412,-1
0.4346,-1
0.44719,-1
0.36812,-1
-1,0.2
-1,0.2
0.4291,-1
0.36643,-1
0.31583,-1
0.3463,-1
0.37099,-1
0.41502,-1
0.40468,-1
-1,0.25
0.375,0.25
0.34492,-1
0.37238,-1
0.39586,-1
-1,0.2
0.44656,-1
0.328,0.3
0.3876,-1
0.3948,-1
0.35563,-1
0.40232,-1
0.36078,-1
0.43285,-1
0.33489,-1
0.37032,-1
0.436,0.25
0.389,0.25
-1,0.2
-1,0.2
0.47866,-1
0.32031,-1
0.45166,-1
0.35572,-1
0.38743,-1
0.39708,-1
0.39034,-1
0.43843,-1
0.48,0.25
-1,0.25
0.51963,-1
0.40106,-1
0.33607,-1
0.42022,-1
0.431,0.3
0.63975,-1
-1,0.2
0.50563,-1
0.49534,-1
0.38049,-1
0.31665,-1
0.39919,-1
0.50179,-1
0.39701,-1
0.44055,-1
0.324,0.25
0.426,0.25
0.54276,-1
0.38396,-1
0.36569,-1
0.34938,-1
0.45619,-1
0.35847,-1
0.30775,-1
-1,0.2
0.45399,-1
-1,0.2
0.43392,-1
0.40022,-1
0.35228,-1
0.38747,-1
0.42974,-1
0.34204,-1
0.45796,-1
-1,0.25
0.361,0.25
0.49426,-1
0.48124,-1
0.5219,-1
0.32925,-1
0.47259,-1
0.46713,-1
-1,0.2
0.379,0.3
0.7405,-1
0.31044,-1
0.38722,-1
0.45077,-1
0.35086,-1
0.41669,-1
-1,0.25
0.51625,-1
0.44094,-1
0.451,0.3
-1,0.2
0.47189,-1
0.37223,-1
0.47199,-1
0.46717,-1
0.38103,-1
0.44729,-1
0.371,0.25
0.32327,-1
0.39635,-1
0.388,0.25
0.52054,-1
0.53493,-1
0.40333,-1
0.31127,-1
-1,0.2
-1,0.2
0.38045,-1
0.54129,-1
0.52902,-1
0.44189,-1
