"RT","SSD"
0.442,0.15
-1,0.15
0.33498,-1
0.35454,-1
0.33483,-1
0.29942,-1
0.30978,-1
0.33498,-1
0.36744,-1
0.324,0.2
0.35236,-1
-1,0.1
0.42932,-1
0.42555,-1
0.32921,-1
0.36071,-1
0.30233,-1
0.37221,-1
0.30789,-1
0.319,0.15
0.43934,-1
0.325,0.15
0.35779,-1
0.38818,-1
0.44087,-1
0.34576,-1
0.359,0.1
0.37267,-1
0.42947,-1
0.33659,-1
0.44274,-1
-1,0.1
0.40992,-1
0.35944,-1
0.41202,-1
0.39219,-1
0.4006,-1
0.33203,-1
-1,0.05
0.316,0.15
-1,0.1
-1,0.1
0.31919,-1
0.3029,-1
0.38896,-1
0.3332,-1
0.44723,-1
0.33687,-1
0.4707,-1
0.41487,-1
0.35768,-1
0.3516,-1
0.36158,-1
-1,0.15
-1,0.15
0.454,0.2
0.35543,-1
0.39421,-1
0.41873,-1
0.41164,-1
0.3741,-1
0.377,0.2
0.36715,-1
-1,0.15
0.44203,-1
0.45409,-1
-1,0.15
0.47745,-1
0.4059,-1
0.4497,-1
0.36104,-1
0.4307,-1
0.36162,-1
0.37171,-1
0.29818,-1
0.33215,-1
0.39634,-1
0.355,0.2
-1,0.2
-1,0.15
0.30642,-1
0.32844,-1
0.43895,-1
0.34406,-1
0.36529,-1
0.373,0.25
0.39806,-1
0.37073,-1
0.448,0.2
0.375,0.2
0.43769,-1
0.34887,-1
0.50505,-1
0.55646,-1
0.30902,-1
0.42274,-1
0.39188,-1
0.40483,-1
0.53193,-1
0.40457,-1
-1,0.15
-1,0.2
0.46333,-1
0.34891,-1
0.43092,-1
0.33863,-1
0.43898,-1
0.39791,-1
-1,0.1
-1,0.15
0.38746,-1
0.346,0.25
0.34221,-1
0.38266,-1
0.32478,-1
0.35751,-1
0.37553,-1
0.36611,-1
0.47501,-1
0.42317,-1
0.40087,-1
0.40995,-1
0.499,0.2
0.383,0.2
0.51517,-1
