"RT","SSD"
0.83703,-1
0.43464,-1
0.50502,-1
0.3457,-1
0.3716,-1
-1,0.25
-1,0.25
0.46834,-1
0.352,0.3
0.381,0.3
0.47604,-1
0.39205,-1
0.47759,-1
0.31474,-1
0.2773,-1
0.42412,-1
0.3506,-1
-1,0.25
-1,0.25
0.37256,-1
0.36733,-1
0.3753,-1
0.44284,-1
0.35788,-1
-1,0.3
0.47889,-1
-1,0.3
0.55172,-1
0.36848,-1
0.33555,-1
0.34769,-1
0.33583,-1
0.33873,-1
0.36617,-1
0.32771,-1
0.32738,-1
0.34406,-1
0.328,0.35
0.34,0.35
0.3152,-1
0.36847,-1
0.393,0.3
0.41468,-1
0.354,0.3
0.43468,-1
0.38107,-1
0.36878,-1
0.3497,-1
0.37953,-1
0.33084,-1
0.309,0.25
0.30441,-1
0.36038,-1
0.35656,-1
0.34416,-1
-1,0.25
0.39645,-1
0.49999,-1
0.33305,-1
0.384,0.3
0.38228,-1
-1,0.2
0.51951,-1
0.49037,-1
0.296,0.25
0.32719,-1
0.52047,-1
0.31524,-1
0.336,0.25
0.3267,-1
0.43536,-1
0.44159,-1
0.46977,-1
0.35288,-1
0.38051,-1
0.38259,-1
0.38339,-1
0.39101,-1
-1,0.2
-1,0.2
-1,0.25
-1,0.25
0.39347,-1
0.43177,-1
0.38323,-1
0.3407,-1
0.352,-1
0.38275,-1
0.34024,-1
0.35422,-1
0.37701,-1
0.40333,-1
-1,0.3
-1,0.3
0.53419,-1
0.5067,-1
0.41206,-1
0.38768,-1
0.372,0.35
0.47046,-1
-1,0.35
0.46342,-1
0.33801,-1
0.37747,-1
0.50499,-1
0.34108,-1
0.36219,-1
0.34301,-1
0.42586,-1
0.351,0.4
0.3789,-1
0.353,0.3
0.455,0.35
0.55946,-1
0.47523,-1
0.38884,-1
0.40469,-1
0.49211,-1
0.37861,-1
-1,0.25
-1,0.3
-1,0.3
0.4198,-1
0.41908,-1
0.38996,-1
0.44024,-1
0.39784,-1
0.43508,-1
