"RT","SSD"
0.58251,-1
0.41086,-1
0.34932,-1
0.394,0.35
0.347,0.35
0.44186,-1
0.30294,-1
0.28597,-1
0.292,0.3
0.29082,-1
0.38873,-1
0.36958,-1
0.3386,-1
0.36641,-1
0.303,0.3
0.39999,-1
0.368,0.25
0.53776,-1
0.299,0.25
0.53141,-1
0.35785,-1
0.44502,-1
0.44552,-1
0.35527,-1
0.34916,-1
0.41246,-1
0.43851,-1
0.43922,-1
-1,0.2
0.339,0.2
0.39906,-1
0.37463,-1
0.29994,-1
0.39834,-1
0.39744,-1
0.56362,-1
0.33675,-1
-1,0.15
0.359,0.25
0.4606,-1
-1,0.2
0.62714,-1
0.41314,-1
0.44631,-1
-1,0.2
0.3966,-1
0.44479,-1
-1,0.25
0.63701,-1
0.46817,-1
0.42257,-1
0.30811,-1
0.43384,-1
0.33805,-1
-1,0.25
-1,0.3
0.38881,-1
0.522,0.3
0.52192,-1
0.3755,-1
0.46989,-1
0.36204,-1
0.38661,-1
0.43579,-1
0.35559,-1
0.45218,-1
0.38974,-1
0.34785,-1
-1,0.25
0.4,0.35
0.47871,-1
0.40898,-1
0.44421,-1
0.44235,-1
0.42728,-1
0.36054,-1
0.373,0.3
-1,0.3
0.479,0.35
-1,0.25
0.36641,-1
0.31658,-1
0.30326,-1
0.40131,-1
0.32206,-1
0.40806,-1
0.45765,-1
0.37939,-1
0.46349,-1
0.41415,-1
0.37247,-1
0.42847,-1
0.406,0.3
0.367,0.3
0.49045,-1
-1,0.25
0.51983,-1
0.43591,-1
0.51127,-1
-1,0.25
0.63818,-1
0.44689,-1
0.50897,-1
0.45949,-1
-1,0.3
0.54939,-1
-1,0.3
0.48007,-1
0.60231,-1
0.49101,-1
0.40257,-1
0.44461,-1
0.43254,-1
0.38201,-1
0.39444,-1
0.41211,-1
0.446,0.35
-1,0.35
-1,0.3
0.47109,-1
0.47891,-1
0.53263,-1
0.54356,-1
0.53911,-1
0.37607,-1
0.499,0.4
