"RT","SSD"
0.673,0.45
0.4222,-1
0.4357,-1
0.51388,-1
0.38306,-1
0.36766,-1
0.42884,-1
-1,0.15
-1,0.2
0.64025,-1
0.44352,-1
0.54473,-1
0.52169,-1
0.538,0.4
0.56833,-1
0.59321,-1
0.4023,-1
0.48319,-1
0.43513,-1
0.438,0.35
0.6385,-1
-1,0.25
0.62381,-1
0.53005,-1
0.65337,-1
0.38137,-1
0.32765,-1
0.43933,-1
0.389,0.3
-1,0.3
0.53686,-1
0.89119,-1
0.62768,-1
0.65328,-1
-1,0.25
0.50047,-1
0.51957,-1
-1,0.35
0.40577,-1
0.49556,-1
0.39986,-1
0.48266,-1
0.40578,-1
0.50745,-1
0.41152,-1
0.52353,-1
-1,0.3
0.37,0.4
0.61033,-1
0.52875,-1
0.63755,-1
0.406,0.35
0.35326,-1
0.74596,-1
-1,0.35
0.52583,-1
0.59657,-1
0.53167,-1
0.437,0.4
0.351,0.3
0.58289,-1
0.52803,-1
0.39825,-1
0.39247,-1
-1,0.35
0.6165,-1
0.40124,-1
0.61498,-1
-1,0.25
0.62001,-1
0.4132,-1
0.52784,-1
0.62785,-1
0.46537,-1
-1,0.4
-1,0.3
0.55541,-1
0.67764,-1
0.61518,-1
0.5721,-1
0.518,0.45
0.6445,-1
-1,0.35
0.67894,-1
0.58591,-1
0.50614,-1
0.38988,-1
0.70244,-1
0.53682,-1
0.54036,-1
0.41403,-1
0.35389,-1
0.45959,-1
0.483,0.4
-1,0.4
0.97525,-1
0.63559,-1
0.44002,-1
0.44352,-1
-1,0.45
0.58821,-1
-1,0.35
-1,-1
-1,-1
0.85576,-1
0.50309,-1
0.49404,-1
0.60828,-1
0.45567,-1
0.71334,-1
-1,0.5
-1,0.4
0.87,0.55
-1,0.45
0.59194,-1
0.63301,-1
0.39895,-1
0.67603,-1
0.64111,-1
0.78377,-1
0.49754,-1
0.54189,-1
0.65663,-1
0.50237,-1
0.50407,-1
0.535,0.5
0.514,0.5
0.73913,-1
