"RT","SSD"
0.74893,-1
0.51044,-1
0.58975,-1
0.564,0.45
0.528,0.45
0.58447,-1
0.58897,-1
0.73352,-1
0.45408,-1
0.511,0.4
0.54093,-1
0.65732,-1
0.79562,-1
0.68374,-1
0.51838,-1
0.532,0.4
0.52071,-1
-1,0.35
0.74282,-1
-1,0.35
0.73689,-1
0.70121,-1
0.8256,-1
1.07809,-1
0.70028,-1
0.73071,-1
0.68759,-1
1.45905,-1
0.65705,-1
0.553,0.4
0.547,0.4
0.65275,-1
0.76015,-1
0.70837,-1
0.73513,-1
0.64129,-1
0.66083,-1
0.63708,-1
1.049,0.35
-1,0.35
0.70492,-1
-1,0.3
0.82756,-1
0.56028,-1
0.49144,-1
0.49,0.4
0.57159,-1
0.61232,-1
-1,0.35
0.76741,-1
1.0738,-1
0.64798,-1
0.6743,-1
0.63276,-1
0.56671,-1
0.779,0.35
-1,0.3
0.63442,-1
-1,0.4
0.60435,-1
0.68218,-1
0.53428,-1
0.65569,-1
0.70312,-1
0.62425,-1
0.54153,-1
0.71023,-1
0.75852,-1
0.63642,-1
0.58191,-1
0.563,0.45
0.812,0.35
0.66824,-1
0.66545,-1
0.5323,-1
0.52866,-1
0.51539,-1
0.53256,-1
-1,0.3
-1,0.4
-1,0.45
-1,0.35
0.96212,-1
0.80038,-1
0.66897,-1
0.6888,-1
0.62135,-1
0.74927,-1
0.57504,-1
0.92207,-1
0.54226,-1
0.52052,-1
0.4697,-1
0.7554,-1
0.655,0.5
-1,0.4
0.91291,-1
-1,0.45
1.12227,-1
0.78563,-1
1.07256,-1
0.526,0.45
0.85625,-1
0.59247,-1
0.71881,-1
0.7624,-1
-1,0.5
0.6544,-1
-1,0.4
0.94125,-1
0.77901,-1
0.90231,-1
0.55816,-1
0.51801,-1
0.58162,-1
0.42315,-1
0.44449,-1
0.60141,-1
0.54,0.55
-1,0.45
0.605,0.5
0.5739,-1
0.56981,-1
0.45086,-1
0.506,0.5
