"RT","SSD"
0.596,0.25
0.37854,-1
0.37027,-1
0.36774,-1
0.35439,-1
0.41927,-1
0.40929,-1
0.358,0.25
-1,0.2
0.37656,-1
0.38282,-1
0.38803,-1
0.38364,-1
-1,0.2
0.32326,-1
0.33265,-1
0.27691,-1
0.31749,-1
0.34254,-1
0.29,0.25
0.27877,-1
-1,0.25
0.29571,-1
0.33699,-1
0.36106,-1
0.34516,-1
0.34159,-1
0.35467,-1
-1,0.2
0.336,0.3
0.55813,-1
0.49512,-1
0.31236,-1
0.37646,-1
-1,0.25
0.30739,-1
0.3471,-1
0.344,0.25
0.36053,-1
0.33876,-1
0.32533,-1
0.47329,-1
0.36337,-1
0.3715,-1
0.39319,-1
0.35209,-1
-1,0.3
0.334,0.2
0.45343,-1
0.40601,-1
0.36758,-1
-1,0.15
0.31007,-1
0.37362,-1
0.383,0.35
0.37815,-1
0.39175,-1
0.3906,-1
0.37,0.3
-1,0.2
0.37969,-1
0.39223,-1
0.38468,-1
0.51374,-1
0.33,0.25
0.2283,-1
0.40029,-1
0.36352,-1
0.263,0.25
0.40019,-1
0.38874,-1
0.39226,-1
0.41531,-1
0.38078,-1
0.309,0.2
-1,0.2
0.36315,-1
0.41978,-1
0.41137,-1
0.41328,-1
-1,0.15
0.34713,-1
-1,0.25
0.4233,-1
0.30224,-1
0.38636,-1
0.40846,-1
0.35416,-1
0.37093,-1
0.30371,-1
0.38945,-1
0.37223,-1
0.33092,-1
-1,0.2
0.376,0.3
0.39356,-1
0.41081,-1
0.35703,-1
0.40885,-1
-1,0.25
0.38358,-1
-1,0.25
0.45745,-1
0.40351,-1
0.39225,-1
0.51201,-1
0.40902,-1
0.39735,-1
0.39871,-1
0.34825,-1
0.418,0.3
0.375,0.3
-1,0.25
-1,0.25
0.41157,-1
0.34587,-1
0.38551,-1
0.40653,-1
0.3909,-1
0.53097,-1
0.4295,-1
0.43527,-1
0.40181,-1
0.37894,-1
0.34676,-1
0.4,0.3
-1,0.3
0.55135,-1
