"RT","SSD"
0.54013,-1
0.35,0.35
0.35959,-1
0.38144,-1
0.39467,-1
0.29195,-1
0.401,0.25
0.52552,-1
0.50326,-1
0.49771,-1
0.33952,-1
0.37617,-1
-1,0.2
0.273,0.3
0.31478,-1
0.30879,-1
0.36564,-1
0.36894,-1
0.45953,-1
0.58663,-1
0.38201,-1
0.323,0.25
0.312,0.25
0.33609,-1
0.3959,-1
0.32504,-1
0.45186,-1
0.26758,-1
0.29062,-1
0.40643,-1
-1,0.2
0.38696,-1
-1,0.25
0.39399,-1
0.42435,-1
0.31227,-1
-1,0.15
0.29434,-1
0.32362,-1
0.51213,-1
0.361,0.3
0.32,0.2
0.40629,-1
0.41974,-1
0.39545,-1
0.3416,-1
0.42608,-1
0.34437,-1
-1,0.15
0.48354,-1
-1,0.25
0.43409,-1
0.37123,-1
0.37603,-1
0.39062,-1
0.34374,-1
0.41833,-1
0.39504,-1
-1,0.2
0.398,0.3
0.35702,-1
0.35242,-1
0.34697,-1
0.29923,-1
-1,0.25
0.30092,-1
0.32687,-1
0.25212,-1
0.31567,-1
0.285,0.25
0.36297,-1
0.2962,-1
0.32176,-1
0.35551,-1
0.30661,-1
0.2646,-1
0.27046,-1
0.374,0.3
0.271,0.2
-1,0.25
0.29724,-1
0.31862,-1
0.27627,-1
-1,0.15
0.28271,-1
0.3196,-1
0.28209,-1
0.31951,-1
0.30041,-1
0.31871,-1
0.338,0.2
0.31,0.3
0.39964,-1
0.39845,-1
0.28446,-1
0.30868,-1
0.31789,-1
0.32139,-1
0.35485,-1
0.321,0.25
0.26487,-1
0.341,0.15
0.5159,-1
0.3253,-1
0.28192,-1
0.31848,-1
0.36154,-1
-1,0.1
0.269,0.2
0.38676,-1
0.3645,-1
0.29378,-1
0.3206,-1
0.3447,-1
0.38328,-1
0.31816,-1
0.32915,-1
-1,0.15
-1,0.15
-1,0.2
0.37477,-1
0.33374,-1
-1,0.2
0.28751,-1
0.43918,-1
0.35811,-1
0.37879,-1
