"RT","SSD"
0.8378,-1
0.683,0.55
0.473,0.45
0.58785,-1
0.74112,-1
0.51219,-1
0.562,-1
0.41359,-1
0.29296,-1
0.32849,-1
0.33329,-1
0.51294,-1
0.377,0.4
0.46805,-1
0.332,0.5
0.536,0.45
0.54913,-1
0.49472,-1
0.51541,-1
0.4845,-1
0.42188,-1
0.45844,-1
0.40798,-1
0.51668,-1
0.44869,-1
-1,0.3
0.60653,-1
0.33342,-1
0.468,0.4
0.56529,-1
0.424,0.35
0.475,0.35
0.55582,-1
0.58396,-1
0.58478,-1
0.47368,-1
0.41001,-1
0.45705,-1
0.34098,-1
0.522,0.3
0.65049,-1
0.308,0.3
0.59536,-1
0.46313,-1
-1,0.25
0.48535,-1
-1,0.25
0.53405,-1
0.57836,-1
0.40576,-1
0.46205,-1
0.55422,-1
0.457,0.3
0.56571,-1
0.56271,-1
0.56911,-1
0.65105,-1
0.62638,-1
0.54669,-1
-1,0.3
-1,0.25
-1,0.35
0.46724,-1
0.44976,-1
0.54067,-1
0.54739,-1
0.80223,-1
0.33152,-1
-1,0.3
0.51656,-1
0.58917,-1
0.52285,-1
0.48104,-1
0.5391,-1
0.5002,-1
0.58349,-1
0.55189,-1
0.50667,-1
0.49933,-1
-1,0.35
0.426,0.35
0.49985,-1
0.5572,-1
0.54117,-1
0.58047,-1
0.41983,-1
0.557,0.4
-1,0.3
0.66551,-1
0.69697,-1
0.57096,-1
0.455,0.35
0.71184,-1
0.84067,-1
0.55111,-1
0.72398,-1
-1,0.35
0.81549,-1
0.63748,-1
-1,0.3
0.61436,-1
0.6514,-1
0.46112,-1
0.61042,-1
0.62876,-1
0.57,0.4
-1,0.35
0.75086,-1
0.79591,-1
0.70446,-1
-1,0.35
0.54846,-1
0.92811,-1
0.56196,-1
0.6245,-1
0.44537,-1
0.58346,-1
0.60709,-1
0.54493,-1
0.49732,-1
-1,0.4
-1,0.4
