"RT","SSD"
0.517,0.05
0.47493,-1
0.41838,-1
0.34661,-1
0.2876,-1
0.35105,-1
0.352,0.25
0.32391,-1
0.3245,-1
0.40201,-1
0.35526,-1
0.32796,-1
0.37845,-1
0.378,0
0.362,0.2
-1,0.15
0.39446,-1
0.39579,-1
0.42493,-1
0.4,0
0.45886,-1
0.38089,-1
0.41038,-1
0.352,0.2
0.54225,-1
0.316,0
0.64049,-1
0.55381,-1
0.52835,-1
0.38943,-1
0.4974,-1
0.5036,-1
-1,0
0.31195,-1
0.56221,-1
0.45983,-1
0.43398,-1
0.39108,-1
0.49868,-1
0.404,0.1
-1,0.05
0.56155,-1
0.38577,-1
0.38126,-1
0.39596,-1
0.47174,-1
0.46485,-1
0.37345,-1
0.353,0.1
0.40536,-1
-1,0
0.58674,-1
0.4765,-1
0.46536,-1
0.41,-1
0.37068,-1
0.36311,-1
0.36811,-1
0.37833,-1
-1,0.05
0.6141,-1
0.33558,-1
0.38436,-1
0.49794,-1
-1,0
-1,0.05
0.379,0.1
0.48234,-1
0.28844,-1
0.4593,-1
0.28683,-1
0.45058,-1
0.33638,-1
0.43607,-1
0.4762,-1
0.4242,-1
0.51906,-1
0.40267,-1
0.40462,-1
0.468,0.05
-1,0.1
-1,0.15
0.38421,-1
0.50522,-1
0.39151,-1
0.51113,-1
0.44785,-1
0.39504,-1
0.29282,-1
0.30046,-1
0.50275,-1
0.521,0.2
0.40455,-1
-1,0
0.39102,-1
-1,0.05
0.4972,-1
0.39868,-1
0.29505,-1
0.28064,-1
0.27781,-1
0.33252,-1
0.295,0.15
0.30242,-1
0.39534,-1
0.34603,-1
0.30369,-1
0.36248,-1
0.326,0.1
0.233,0.1
0.552,0.05
0.69504,-1
0.36949,-1
0.27355,-1
0.3736,-1
0.38732,-1
0.37332,-1
