"RT","SSD"
0.62383,-1
0.72942,-1
0.45419,-1
-1,0.25
0.422,0.45
0.63645,-1
0.57905,-1
0.57904,-1
0.40227,-1
0.438,0.3
0.77584,-1
0.67303,-1
0.61864,-1
0.50677,-1
0.595,0.4
0.56725,-1
0.514,0.35
0.78443,-1
-1,0.25
0.51556,-1
0.56125,-1
0.57563,-1
0.56606,-1
0.59208,-1
0.54561,-1
0.60956,-1
0.52505,-1
0.63612,-1
-1,0.3
0.509,0.3
0.54171,-1
0.63371,-1
0.61867,-1
0.50666,-1
0.61302,-1
0.61788,-1
0.63608,-1
-1,0.25
0.448,0.35
0.67878,-1
-1,0.3
0.7908,-1
1.49794,-1
0.90817,-1
-1,0.3
0.62163,-1
0.93165,-1
1.068,0.35
0.6664,-1
0.685,-1
0.75296,-1
0.55935,-1
0.5878,-1
0.65781,-1
-1,0.35
-1,0.4
0.51934,-1
-1,0.3
0.44799,-1
0.597,-1
0.58415,-1
0.51866,-1
0.64083,-1
0.78772,-1
0.75075,-1
0.53829,-1
0.63758,-1
0.58672,-1
0.78226,-1
0.548,0.35
-1,0.45
0.77539,-1
0.40081,-1
0.57961,-1
0.74096,-1
0.70131,-1
0.59275,-1
0.679,0.5
-1,0.3
-1,0.35
-1,0.45
0.59534,-1
1.03582,-1
1.24245,-1
0.58414,-1
0.59705,-1
0.68012,-1
0.57177,-1
-1,-1
0.794,-1
0.58826,-1
0.44664,-1
0.49605,-1
0.567,0.4
0.653,0.5
1.08253,-1
0.423,0.35
0.72654,-1
0.95804,-1
0.58338,-1
0.901,0.45
0.60264,-1
0.75196,-1
0.41333,-1
-1,-1
-1,0.3
0.65729,-1
0.606,0.4
0.84905,-1
0.61319,-1
0.73478,-1
0.63435,-1
0.69819,-1
1.0849,-1
0.74312,-1
0.83672,-1
1.23186,-1
-1,0.35
-1,0.35
-1,0.4
0.56676,-1
0.59078,-1
0.83221,-1
1.07324,-1
0.83093,-1
0.67296,-1
-1,0.4
