"RT","SSD"
0.58021,-1
0.41575,-1
0.4853,-1
0.59492,-1
0.39235,-1
0.42345,-1
0.516,0.45
0.492,0.55
0.5752,-1
0.60261,-1
0.56619,-1
-1,0.4
0.58305,-1
0.541,0.5
0.59589,-1
0.70942,-1
0.65677,-1
0.39125,-1
0.556,0.45
0.78566,-1
0.53147,-1
0.90837,-1
0.78825,-1
-1,0.45
-1,0.4
0.66488,-1
0.80631,-1
0.87374,-1
0.74802,-1
0.80493,-1
0.5104,-1
0.66831,-1
0.71337,-1
0.516,0.45
1.12608,-1
0.7193,-1
0.65835,-1
0.53367,-1
0.44424,-1
0.66076,-1
0.58225,-1
0.91505,-1
-1,0.6
0.67786,-1
0.4151,-1
0.556,0.4
1.06602,-1
0.51889,-1
0.67791,-1
0.66756,-1
0.609,0.65
0.78148,-1
0.55492,-1
0.74711,-1
0.78599,-1
0.75868,-1
0.73598,-1
-1,0.4
0.58606,-1
0.716,0.6
0.73105,-1
0.62074,-1
0.641,0.55
-1,0.45
0.59698,-1
0.74714,-1
0.46397,-1
0.62157,-1
0.70877,-1
0.59548,-1
0.72031,-1
-1,-1
0.3951,-1
0.60637,-1
0.477,0.5
0.46159,-1
0.45,0.5
0.518,0.45
0.405,0.45
0.57341,-1
0.60479,-1
0.44991,-1
0.57861,-1
0.52438,-1
0.67473,-1
0.57675,-1
0.52993,-1
0.45437,-1
0.57667,-1
0.37744,-1
0.312,0.4
0.508,0.4
0.54139,-1
0.57745,-1
0.72346,-1
0.58941,-1
0.84792,-1
0.48419,-1
-1,0.35
0.89582,-1
0.62108,-1
0.49695,-1
0.72228,-1
0.61599,-1
-1,-1
0.429,0.4
0.594,0.4
0.78035,-1
0.44916,-1
0.69875,-1
0.51933,-1
0.454,0.35
-1,0.35
0.58386,-1
0.73618,-1
0.55852,-1
0.63576,-1
0.77358,-1
1.28856,-1
-1,0.3
0.87924,-1
0.881,0.4
0.68006,-1
