"RT","SSD"
0.70504,-1
0.50731,-1
0.41941,-1
0.449,0.25
0.45238,-1
0.341,0.35
0.39851,-1
0.39191,-1
0.52222,-1
0.36157,-1
0.30203,-1
0.39288,-1
-1,0.2
0.34891,-1
0.4195,-1
0.349,0.3
0.53306,-1
0.49261,-1
0.43028,-1
0.44925,-1
0.4232,-1
0.49115,-1
0.341,0.25
-1,0.25
0.52308,-1
-1,0.3
-1,0.2
0.54659,-1
0.65773,-1
0.49243,-1
0.53208,-1
0.52512,-1
0.31529,-1
0.55386,-1
0.35,0.25
0.57268,-1
-1,0.35
0.53339,-1
0.52989,-1
0.41869,-1
0.49822,-1
0.67204,-1
0.58573,-1
-1,0.2
0.568,0.4
0.58478,-1
0.47092,-1
0.62471,-1
0.50432,-1
0.69802,-1
0.352,0.25
-1,0.35
0.51503,-1
0.49154,-1
0.345,-1
0.31663,-1
-1,0.2
0.38,0.4
0.53294,-1
0.48878,-1
0.55094,-1
0.49742,-1
0.5377,-1
0.54269,-1
0.456,-1
0.63206,-1
0.55018,-1
0.33688,-1
0.496,0.35
0.57564,-1
0.59617,-1
-1,0.25
-1,0.3
0.60917,-1
0.71813,-1
0.48452,-1
0.41937,-1
0.57913,-1
0.436,0.3
0.54992,-1
0.54039,-1
0.44772,-1
0.43075,-1
0.45154,-1
0.39705,-1
0.31411,-1
0.4,0.25
0.369,0.35
-1,0.2
0.47866,-1
0.81265,-1
0.52861,-1
0.6174,-1
0.51492,-1
0.49456,-1
-1,0.3
0.66831,-1
0.38719,-1
-1,0.25
0.59741,-1
0.50372,-1
0.56266,-1
-1,0.35
0.33625,-1
0.48641,-1
0.59624,-1
0.52153,-1
0.47052,-1
-1,0.3
0.54553,-1
0.459,0.4
0.6327,-1
0.4091,-1
0.41156,-1
0.48084,-1
0.44313,-1
0.42276,-1
0.456,0.35
0.43567,-1
0.459,0.35
-1,0.3
-1,0.3
0.54607,-1
0.66706,-1
0.35148,-1
0.48062,-1
0.41991,-1
0.46686,-1
