"RT","SSD"
0.64133,-1
0.40417,-1
0.37681,-1
0.41984,-1
0.339,0.35
0.426,0.35
0.44798,-1
0.41348,-1
0.42176,-1
0.35331,-1
0.317,0.3
0.32489,-1
0.322,0.3
0.45906,-1
0.36741,-1
0.20832,-1
0.40776,-1
0.344,0.25
0.60103,-1
0.40199,-1
0.30619,-1
0.42719,-1
0.45617,-1
0.47307,-1
0.301,0.2
-1,0.2
0.61047,-1
0.48484,-1
0.4676,-1
0.50388,-1
0.36301,-1
0.45568,-1
0.44817,-1
0.45864,-1
0.391,0.25
-1,0.15
0.49565,-1
0.41961,-1
0.48436,-1
0.38707,-1
0.52382,-1
0.344,0.2
0.447,0.2
0.54133,-1
0.48906,-1
0.49543,-1
0.43209,-1
0.46901,-1
0.50507,-1
0.58661,-1
0.507,0.15
0.66458,-1
-1,0.15
-1,-1
0.49034,-1
0.49208,-1
0.59036,-1
0.48063,-1
0.805,-1
-1,0.1
0.547,0.2
1.02716,-1
-1,0.15
-1,0.15
0.6181,-1
0.61304,-1
0.54872,-1
0.75109,-1
0.47301,-1
0.34971,-1
0.55784,-1
0.49557,-1
0.50021,-1
-1,0.2
-1,0.2
0.59811,-1
0.48496,-1
0.54192,-1
0.46014,-1
0.52344,-1
0.56163,-1
0.49199,-1
-1,0.25
0.497,0.25
0.6517,-1
-1,0.2
0.424,0.3
0.45337,-1
0.47083,-1
0.40931,-1
0.46287,-1
0.51874,-1
0.43344,-1
-1,0.25
0.57377,-1
0.45311,-1
-1,0.25
0.60606,-1
0.55796,-1
0.72699,-1
0.54349,-1
0.657,0.3
0.523,0.3
0.5631,-1
0.46442,-1
0.52728,-1
0.45724,-1
0.51392,-1
0.409,0.25
0.475,0.25
0.57557,-1
0.33658,-1
0.4954,-1
0.52077,-1
0.63371,-1
0.36497,-1
0.54046,-1
0.636,0.2
0.56275,-1
0.54543,-1
0.69769,-1
-1,0.2
0.62738,-1
0.42696,-1
