"mu.true","sigma.true","tau.true","muS","sigmaS","tauS"
0.0163459756385541,0.0103996331278305,0.016989861588241,0.0374364974154396,0.0942399229562029,0.0428325083320585
0.00707021546084471,0.00581933512532513,0.0130377965816018,0.0536581930311562,0.112016651693101,0.0583759210988438
0.0135136681875817,0.00958931094668806,0.014394057448626,0.0658974310693411,0.0698231864330178,0.135312192421292
0.00660182021605223,0.00552195473880488,0.0098825989954033,0.0424462025703391,0.0311736864911951,0.0477515777818608
0.00959266565950248,0.0052606426760591,0.00963107102553728,0.0679759537696356,0.142791959202125,0.106822944406329
0.0172580005043174,0.013594996226157,0.021095691728273,0.0334195198813606,0.0822778970894272,0.0232532397822736
0.0129081856214824,0.00698999856585674,0.0131963109112635,0.0316562203792444,0.0420547149464876,0.0237311852455413
0.00941241056873398,0.00732797293467622,0.0122898248591527,0.0735958151915423,0.0461403355514945,0.0777982382148646
0.018566428572584,0.0150953032435405,0.0248187946283368,0.0654345098032991,0.0580012152009011,0.0890926140622643
0.0140012242980539,0.00864103587442872,0.0152487829644728,0.0496533904142725,0.0870722997583205,0.0536594564588856
0.00769523821030124,0.00594836621594002,0.0102864802323441,0.0376278116009134,0.0382994304236002,0.0526199838482814
0.0060972147616885,0.00433931797999195,0.00836761928097864,0.0315942360477459,0.0340164188793993,0.0312346163715201
0.0133864235611138,0.00688961843311478,0.0125762700832777,0.0546821478180284,0.0706162063521139,0.0571464562241926
0.0137417617104853,0.00849825950219161,0.0172621620060079,0.0523299313390503,0.053053981997562,0.0546342092508336
0.016932151143758,0.0112397407044598,0.0189559852463239,0.0243442977600326,0.0189577793027622,0.016173027469529
0.0212268364834602,0.00863211025010859,0.019888728470919,0.0316713371162538,0.0376835389665008,0.020552948065303
0.0102921019160801,0.00663172533124301,0.0119019313751816,0.0284575241212608,0.0290933983801113,0.0252863620730314
0.0122860074107047,0.00797686384924829,0.0132644475285372,0.0488450151639862,0.0800041069341778,0.0719756635702819
0.00865592893224425,0.00556728133735395,0.00925844545880852,0.0127878158403939,0.00793772063763643,0.00908261422055934
0.0103585023334209,0.00857769449885531,0.0142242992423929,0.0148854724021521,0.0140962734789993,0.0109866069612925
0.0108140308424607,0.00856836588705584,0.0160092104344602,0.0491887936312143,0.102431118494614,0.0476295528197084
0.010740966439284,0.00491189081052248,0.0105173361030939,0.0257278124820247,0.0216061015986568,0.0239731758326189
0.0154637162701949,0.0100566696425351,0.0168815976619092,0.0340692231248225,0.0261353214220805,0.0348574125430284
0.0107243891781471,0.0069513164016416,0.011754947406254,0.0342060426987626,0.0388557453319185,0.045667562963103
0.0173320589121334,0.0118960177554648,0.0182525348915957,0.0349161881519711,0.0765769428124456,0.0441837219519709
0.00898562974790822,0.00705634124451789,0.0117446476755574,0.0357813775540525,0.0426468466512568,0.0470673508286007
0.0071686231175483,0.00615029269374873,0.00933187098823354,0.0746050024998071,0.111926482941855,0.140705540491421
0.0131522633410387,0.00702445486925549,0.0131779375542493,0.0282369817013962,0.0215081848461722,0.0225991031947993
0.0101151777142777,0.0065437221593973,0.00993291234743089,0.0421754489396067,0.0329314503622088,0.0605493651147909
0.0130560954459305,0.00619628104597871,0.0124742246943991,0.03723717385038,0.0293553560565243,0.0368165140559049
0.015179006996053,0.010278642471931,0.0216785036650467,0.0528637036647611,0.0530546744240511,0.0695301607506156
0.00647735204176294,0.00403878720181569,0.00713444225033968,0.0306252608129339,0.0405558075131419,0.0347103658928264
0.0110890177357121,0.00889501611323214,0.0126285822063333,0.0341567106419061,0.102571456447027,0.0434818457443396
0.0116567277827849,0.00867630972840775,0.0148290735354704,0.0254743865329497,0.0169844250090556,0.0191582801595654
0.0112134312284059,0.0080835991549857,0.0143520554863957,0.0441650916977763,0.0389008678012187,0.0471402108825809
0.0113711380935885,0.00747834000340592,0.0120483558044934,0.0336952249642353,0.0277670813287827,0.0460786915842406
0.0141766482521091,0.00666905927680195,0.0151960107071638,0.0294603959554993,0.0202545106712123,0.0253475721028344
0.0081269971099249,0.00603934735499437,0.0103076163609206,0.0246729633410679,0.0264605376104724,0.0233994228545427
0.0120917406667136,0.00669784630090737,0.0121660996583613,0.032367666504428,0.0220022713931431,0.0331235925859621
0.00894206277536821,0.00581493851363706,0.0103282843955066,0.0556930302034665,0.0581914723435388,0.0810651843394505
0.00816306904570357,0.00635212434442988,0.0110506722593396,0.0513715092841092,0.0527718683119246,0.0532885175307585
0.00612913191617902,0.00409777222035432,0.00634143997415417,0.0613223375943445,0.0727605496787714,0.0898614320069381
0.0125397338486994,0.00838879608787235,0.0137550465864303,0.0336207368734452,0.0268673668639149,0.0289034620400828
0.0136475376519406,0.00911214625048555,0.0136203929681919,0.0537382997037645,0.0382359090620428,0.0741838835993499
0.0206533145883351,0.0126256050575108,0.0229528542470825,0.0405331955966036,0.0341295057164853,0.0599628841854751
0.0130901582922536,0.00979406035373519,0.0151895130166141,0.0498595325217854,0.121170280247667,0.07482604630189
0.0103877646632501,0.00857108848873974,0.0134200960776329,0.0495047217492032,0.11706376580547,0.0633283765834831
