"","V1","V2","V3","V4","V5","V6"
"sub10159",0.451680769015866,0.0881678744013542,0.0910982637070384,0.0594122678856607,0.19864302959063,0.0598687927590049
"sub10171",0.344907964796608,0.0229069766032325,0.139718476939461,0.0701005103566109,0.189767226976196,0.0846783156838913
"sub10189",0.340196537268245,0.0560164749556063,0.0722209305196978,0.174450300977355,0.450857171295176,0.299818687683477
"sub10206",0.312615403366772,0.0292789609118542,0.0835091474757495,0.174780350464113,0.0658157705899173,0.0878111609132066
"sub10217",0.31866548430848,0.0390892073251525,0.0288924366943909,0.128709516056509,0.553750195545971,0.169068562166946
"sub10227",0.372926701283735,0.0551985364909511,0.134949205859876,0.0413241993396649,0.315719619138828,0.0461076936915597
"sub10228",0.376948233673415,0.0676898818568307,0.0623454329892125,0.0563181211646104,0.0919762920422073,0.0501192975060105
"sub10235",0.362371162251615,0.035289880922622,0.118579554628515,0.218192918269438,0.0933777803860087,0.102461245227236
"sub10249",0.339990753043889,0.0662061528291591,0.196566232540747,0.183131059667305,0.199200874628489,0.249651022339235
"sub10271",0.481053549332953,0.0743027811631634,0.0862632542641391,0.0895687692148786,0.13272250174269,0.0822393945757558
"sub10273",0.329669553443082,0.0295283312676287,0.0855046462136727,0.174757451226304,0.0379878333178392,0.0526567218781063
"sub10274",0.352378182815576,0.0250399267057186,0.0534580250229781,0.0760457357662739,0.0606058144757874,0.057942111769442
"sub10280",0.367440192715787,0.0561166380999864,0.0343597253875383,0.106812925820273,0.160919780053668,0.104090410685221
"sub10290",0.473271267389209,0.077843073414029,0.138846940995642,0.119130362189693,0.0909678015357228,0.102553174946984
"sub10292",0.388946716183517,0.075761108077202,0.0984378969924586,0.103474705877997,0.035401814809954,0.0286510631928442
"sub10304",0.654680446829721,0.124630156396574,0.0207881509515682,0.0784245067825797,0.124655510913069,0.0452856913309023
"sub10316",0.400748845322194,0.0543258270286624,0.0770566917122637,0.0862990563554605,0.0410906222326215,0.0497565290930817
"sub10321",0.372994594394835,0.0531293925047021,0.0822631276329155,0.129839178311581,0.36703404632068,0.126925548148696
"sub10325",0.349936967449848,0.0413665250123849,0.0381486012055504,0.102086609948991,0.0107999641281662,0.0135621966684376
"sub10329",0.286769331104998,0.0286835733042298,0.119900244469508,0.0958691073822407,0.0185235340792006,0.0168813154545592
"sub10339",0.418798388177482,0.0461529182865829,0.154906608352344,0.080613547225466,0.212922127976381,0.089509993340192
"sub10340",0.414893690467949,0.0501289145912943,0.0194655772712698,0.175202680966339,0.0309684310586678,0.0464788373950337
"sub10345",0.36334948362542,0.0798199614900558,0.089690586015135,0.0830131930553083,0.0369782992122746,0.0491878486183634
"sub10347",0.31437683637697,0.0461067931077799,0.0685175994858838,0.099403065436961,0.0834160929790272,0.105136693731849
"sub10356",0.440137585665544,0.0761291470160507,0.106597190781496,0.0645357916220414,0.0876103631461051,0.0630419695616024
"sub10361",0.36458124042075,0.0355664434362024,0.0942690909396467,0.0915789555786475,0.0871504015233723,0.108100904673194
"sub10365",0.330251613623751,0.0237268754987033,0.081648502318806,0.180505789070288,0.545861019378227,0.256249356768292
"sub10376",0.336671550642216,0.0539703275803836,0.0306882466548803,0.210459603689881,0.0337303460927395,0.0328284646146059
"sub10377",0.326615500394726,0.05061616426339,0.0652849936249802,0.166780375019496,0.0419669271118149,0.0754961786254296
"sub10388",0.402888883735404,0.0735271747195394,0.0364181293920473,0.0992462850507598,0.0654581387759986,0.0618430910059191
"sub10429",0.51218870921679,0.0735073014076119,0.167968300870322,0.200994325053032,0.0194310568856823,0.0229853067013291
"sub10438",0.341216746392598,0.0392632334775766,0.0424747960739507,0.0859165684998126,0.0280453768504059,0.0282515550438129
"sub10440",0.350825264679309,0.0271339080623971,0.0831789239957935,0.0476615911398045,0.184267454654907,0.056324602525311
"sub10455",0.371768051019546,0.0578449528524621,0.104435970357851,0.106647454473106,0.0276897464829491,0.0278920857320104
"sub10460",0.41352632407221,0.0521540528960103,0.110178730660732,0.118648303009609,0.0819223852030463,0.0858526256100995
"sub10471",0.354879341028555,0.0550333629749523,0.0702651902319466,0.152498402708255,0.0314521620113673,0.0441815544779495
"sub10478",0.451999333470668,0.063876690679338,0.0194513967891397,0.132477696240545,0.0322794949199136,0.037532317509759
"sub10487",0.349570803668519,0.0362875068852618,0.0695569551733436,0.121162164097071,0.0427469174425808,0.0449596411965594
"sub10492",0.345654974482726,0.055148963154134,0.0427218447946994,0.19314421353986,0.0342129956632477,0.0471029901683365
"sub10506",0.367733218448375,0.0481472065479483,0.0818531100495598,0.138327617141195,0.182971632261343,0.185484930720801
"sub10517",0.358174307429737,0.0334772512475337,0.0880552257569695,0.12353839894985,0.133589868738921,0.112913891036934
"sub10523",0.300121615476828,0.0290136391382228,0.0358589044707828,0.129308743932056,0.346617407400672,0.157493011783904
"sub10524",0.425185440266917,0.0616355478020028,0.100787228842282,0.134334212402,0.045310144623126,0.0519805421456493
"sub10525",0.416446539662512,0.0790147107640306,0.0824791180869854,0.141061391403579,0.136321193839731,0.178787184461815
"sub10527",0.501007085147579,0.0962292239506236,0.132916096155111,0.118150278544344,0.0524666356861434,0.111149505584208
"sub10530",0.34322163021112,0.053983777261259,0.0933295208219625,0.100311381050682,0.381420583525945,0.148889614906524
"sub10557",0.308934602225035,0.0426912733807692,0.107332282175327,0.0799318942503972,0.273732734579229,0.104368387992278
